"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4534","4506","33.73%"
"Central Mississippi Correctional Facility","3381","3353","25.10%"
"South Mississippi Correctional Institution","2404","2250","16.84%"
"County Jails - Approved*","1744","1396","10.45%"
"County Jails - Unapproved**","0","98","0.73%"
"Community Work Centers","1816","1756","13.14%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13879","13359","100.00%"
"Bolivar County Correctional Facility","294","294","9.58%"
"Carroll County Correctional Facility","280","279","9.09%"
"George County Correctional Facility","280","279","9.09%"
"Holmes County Correctional Facility","280","280","9.13%"
"Issaquena County Correctional Facility","274","272","8.87%"
"Jefferson County Correctional Facility","274","274","8.93%"
"Kemper County Correctional Facility","280","278","9.06%"
"Leake County Correctional Facility","280","279","9.09%"
"Marion County Correctional Facility","280","278","9.06%"
"Stone County Correctional Facility","280","276","9.00%"
"Winston County Correctional Facility","280","279","9.09%"
"TOTAL REGIONAL FACILITIES","3082","3068","100.00%"
"Delta Correctional Facility","972","967","19.99%"
"East MS Correctional Facility","1000","856","17.69%"
"Marshall County Correctional Facility","1000","992","20.50%"
"Tallahatchie County Correctional Facility","128","128","2.65%"
"Walnut Grove Correctional Facility","1000","948","19.59%"
"Wilkinson County Correctional Facility","1000","947","19.57%"
"TOTAL PRIVATE PRISONS","5100","4838","100.00%"
"Community Trusties","022","17","0.07%"
"Emergency Suspension","0","0","0.00%"
"Pending File Review","0","34","0.13%"
"Court Order","0","310","1.23%"
"TOTAL CAPACITY & CUSTODY POPULATION","22083","21626","85.64%"
"Intensive Supervision Program","0","1511","5.98%"
"Earned Release Supervision Program","00","1690","6.69%"
"Medical Release","0","8","0.03%"
"TOTAL COMMUNITY CORRECTIONS","00","3209","12.71%"
"Other Custody","0","293","1.16%"
"Off-Grounds Medical (Hospital)","0","12","0.05%"
"At Large (Escapees & Walk-Aways)","0","111","0.44%"
"TOTAL","22083","25251","100.00%"
