"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4630","4600","35.91%"
"Central Mississippi Correctional Facility","3233","3116","24.32%"
"South Mississippi Correctional Institution","2214","2174","16.97%"
"County Jails - Approved*","2329","1215","9.48%"
"County Jails - Unapproved**","0","25","0.20%"
"Community Work Centers","1816","1680","13.11%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14222","12810","100.00%"
"Bolivar County Correctional Facility","250","248","9.06%"
"Carroll County Correctional Facility","250","249","9.09%"
"George County Correctional Facility","250","249","9.09%"
"Holmes County Correctional Facility","250","250","9.13%"
"Issaquena County Correctional Facility","250","247","9.02%"
"Jefferson County Correctional Facility","250","249","9.09%"
"Kemper County Correctional Facility","250","249","9.09%"
"Leake Correctional Facility","250","250","9.13%"
"Marion County Correctional Facility","250","248","9.06%"
"Stone County Correctional Facility","250","250","9.13%"
"Winston County Correctional Facility","250","249","9.09%"
"TOTAL REGIONAL FACILITIES","2750","2738","100.00%"
"Delta Correctional Facility","960","957","19.81%"
"East MS Correctional Facility","1000","870","18.00%"
"Marshall County Correctional Facility","1000","992","20.53%"
"Tallahatchie County Correctional Facility","128","128","2.65%"
"Walnut Grove Correctional Facility","1000","898","18.58%"
"Wilkinson County Correctional Facility","1000","987","20.43%"
"TOTAL PRIVATE PRISONS","5088","4832","100.00%"
"Community Trusties","2","20","0.08%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","19","0.08%"
"Court Order","0","392","1.58%"
"TOTAL CAPACITY & CUSTODY POPULATION","22082","20811","84.10%"
"Intensive Supervision Program","0","1642","6.64%"
"Earned Release Supervision Program","0","1881","7.60%"
"Medical Release","00","7","0.03%"
"TOTAL COMMUNITY CORRECTIONS","0","3530","14.27%"
"Other Custody","0","293","1.18%"
"Off-Grounds Medical (Hospital)","0","4","0.02%"
"At Large (Escapees & Walk-Aways)","0","107","0.43%"
"TOTAL","22082","24745","100.00%"
