"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3356","3096","24.70%"
"Central Mississippi Correctional Facility","3449","3173","25.31%"
"South Mississippi Correctional Institution","3204","3138","25.03%"
"County Jails - Approved*","1632","1297","10.35%"
"County Jails - Unapproved**","0","277","2.21%"
"Community Work Centers","1848","1554","12.40%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13489","12535","100.00%"
"Alcorn County Correctional Facility","300","243","7.44%"
"Bolivar County Correctional Facility","294","232","7.10%"
"Carroll County Correctional Facility","280","224","6.86%"
"Chickasaw County Correctional Facility","300","248","7.59%"
"George County Correctional Facility","280","221","6.77%"
"Holmes County Correctional Facility","280","224","6.86%"
"Issaquena County Correctional Facility","274","221","6.77%"
"Jefferson County Correctional Facility","280","223","6.83%"
"Kemper County Correctional Facility","355","283","8.67%"
"Leake County Correctional Facility","280","224","6.86%"
"Marion County Correctional Facility","280","224","6.86%"
"Stone County Correctional Facility","280","224","6.86%"
"Winston County Correctional Facility","280","224","6.86%"
"Yazoo County Correctional Facility","300","251","7.69%"
"TOTAL REGIONAL FACILITIES","4063","3266","100.00%"
"Delta Correctional Facility","972","898","17.40%"
"East MS Correctional Facility","1500","1350","26.16%"
"Marshall County Correctional Facility","1000","998","19.34%"
"Walnut Grove Correctional Facility","1500","1020","19.76%"
"Wilkinson County Correctional Facility","1000","895","17.34%"
"TOTAL PRIVATE PRISONS","5972","5161","100.00%"
"Community Trusties","22","13",".05%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","133",".53%"
"Court Order","0","324","1.30%"
"TOTAL CAPACITY & CUSTODY POPULATION","23546","21432","85.78%"
"Intensive Supervision Program","0","1567","6.27%"
"Earned Release Supervision Program","0","1505","6.02%"
"Medical Release","00","30",".12%"
"TOTAL COMMUNITY CORRECTIONS","0","3102","12.42%"
"Other Custody","0","400","1.60%"
"Off-Grounds Medical (Hospital)","0","13",".05%"
"At Large (Escapees & Walk-Aways)","00","37",".15%"
"TOTAL","23546","24984","100.00%"
