"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4648","3376","25.46%"
"Central Mississippi Correctional Facility","3665","3307","24.94%"
"South Mississippi Correctional Institution","3282","3182","24.00%"
"County Jails - Approved*","1816","1460","11.01%"
"County Jails - Unapproved**","0","444","3.35%"
"Community Work Centers","1848","1490","11.24%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15259","13259","100.00%"
"Alcorn County Correctional Facility","300","296","6.81%"
"Bolivar County Correctional Facility","369","367","8.44%"
"Carroll County Correctional Facility","280","277","6.37%"
"Chickasaw County Correctional Facility","300","299","6.88%"
"George County Correctional Facility","280","279","6.42%"
"Holmes County Correctional Facility","280","280","6.44%"
"Issaquena County Correctional Facility","274","274","6.30%"
"Jefferson County Correctional Facility","280","279","6.42%"
"Kemper County Correctional Facility","355","341","7.84%"
"Leake County Correctional Facility","280","277","6.37%"
"Marion County Correctional Facility","280","281","6.46%"
"Stone County Correctional Facility","280","277","6.37%"
"Washington County Correctional Facility","300","240","5.52%"
"Winston County Correctional Facility","280","279","6.42%"
"Yazoo County Correctional Facility","300","301","6.92%"
"TOTAL REGIONAL FACILITIES","4438","4347","100.00%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1174","27.51%"
"Marshall County Correctional Facility","1000","999","23.41%"
"Walnut Grove Correctional Facility","1500","1193","27.96%"
"Wilkinson County Correctional Facility","1000","901","21.12%"
"TOTAL PRIVATE PRISONS","5972","4267","100.00%"
"Community Trusties","22","13",".05%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","20",".08%"
"Court Order","0","339","1.30%"
"TOTAL CAPACITY & CUSTODY POPULATION","25691","22245","85.40%"
"Intensive Supervision Program","0","1654","6.35%"
"Earned Release Supervision Program","00","1628","6.25%"
"Medical Release","0","25",".10%"
"TOTAL COMMUNITY CORRECTIONS","0","3307","12.70%"
"Other Custody","0000","449","1.72%"
"Off-Grounds Medical (Hospital)","0","12",".05%"
"At Large (Escapees & Walk-Aways)","0","34",".13%"
"TOTAL","25691","26047","100.00%"
