"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4435","3924","31.01%"
"Central Mississippi Correctional Facility","3665","3151","24.90%"
"South Mississippi Correctional Institution","3204","2711","21.42%"
"County Jails - Approved*","1487","1085","8.57%"
"County Jails - Unapproved**","0","162","1.28%"
"Community Work Centers","1848","1623","12.82%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14639","12656","100.00%"
"Bolivar County Correctional Facility","294","281","9.39%"
"Carroll County Correctional Facility","280","263","8.78%"
"George County Correctional Facility","280","264","8.82%"
"Holmes County Correctional Facility","280","263","8.78%"
"Issaquena County Correctional Facility","274","260","8.68%"
"Jefferson County Correctional Facility","280","265","8.85%"
"Kemper County Correctional Facility","355","340","11.36%"
"Leake County Correctional Facility","280","265","8.85%"
"Marion County Correctional Facility","280","266","8.88%"
"Stone County Correctional Facility","280","263","8.78%"
"Winston County Correctional Facility","280","264","8.82%"
"TOTAL REGIONAL FACILITIES","3163","2994","100.00%"
"Delta Correctional Facility","972","954","17.28%"
"East MS Correctional Facility","1500","1358","24.59%"
"Marshall County Correctional Facility","1000","982","17.78%"
"Walnut Grove Correctional Facility","1500","1255","22.73%"
"Wilkinson County Correctional Facility","1000","973","17.62%"
"TOTAL PRIVATE PRISONS","5972","5522","100.00%"
"Community Trusties","2","15","0.06%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","73","0.29%"
"Court Order","0","256","1.03%"
"TOTAL CAPACITY & CUSTODY POPULATION","23796","21516","86.88%"
"Intensive Supervision Program","0","1334","5.39%"
"Earned Release Supervision Program","0","1474","5.95%"
"Medical Release","00","36","0.15%"
"TOTAL COMMUNITY CORRECTIONS","00","2844","11.48%"
"Other Custody","0","351","1.42%"
"Off-Grounds Medical (Hospital)","0","10","0.04%"
"At Large (Escapees & Walk-Aways)","0","44","0.18%"
"TOTAL","23796","24765","100.00%"
