"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4435","3198","25.78%"
"Central Mississippi Correctional Facility","3449","3160","25.48%"
"South Mississippi Correctional Institution","3204","3173","25.58%"
"County Jails - Approved*","1555","1140","9.19%"
"County Jails - Unapproved**","0","178","1.44%"
"Community Work Centers","1848","1555","12.54%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14491","12404","100.00%"
"Bolivar County Correctional Facility","294","235","7.85%"
"Carroll County Correctional Facility","280","223","7.45%"
"Chickasaw County Correctional Facility","300","234","7.82%"
"George County Correctional Facility","280","223","7.45%"
"Holmes County Correctional Facility","280","224","7.49%"
"Issaquena County Correctional Facility","274","219","7.32%"
"Jefferson County Correctional Facility","280","222","7.42%"
"Kemper County Correctional Facility","355","283","9.46%"
"Leake County Correctional Facility","280","224","7.49%"
"Marion County Correctional Facility","280","224","7.49%"
"Stone County Correctional Facility","280","225","7.52%"
"Winston County Correctional Facility","280","223","7.45%"
"Yazoo County Correctional Facility","300","233","7.79%"
"TOTAL REGIONAL FACILITIES","3763","2992","100.00%"
"Delta Correctional Facility","972","901","17.12%"
"East MS Correctional Facility","1500","1358","25.80%"
"Marshall County Correctional Facility","1000","928","17.63%"
"Walnut Grove Correctional Facility","1500","1194","22.68%"
"Wilkinson County Correctional Facility","1000","883","16.77%"
"TOTAL PRIVATE PRISONS","5972","5264","100.00%"
"Community Trusties","2","14",".06%"
"Emergency Suspension","02","0",".00%"
"Pending File Review","00","138",".56%"
"Court Order","0","300","1.22%"
"TOTAL CAPACITY & CUSTODY POPULATION","24248","21112","85.78%"
"Intensive Supervision Program","0","1599","6.50%"
"Earned Release Supervision Program","00","1443","5.86%"
"Medical Release","0","44",".18%"
"TOTAL COMMUNITY CORRECTIONS","00","3086","12.54%"
"Other Custody","0","368","1.50%"
"Off-Grounds Medical (Hospital)","0","8",".03%"
"At Large (Escapees & Walk-Aways)","0","39",".16%"
"TOTAL","24248","24613","100.00%"
