"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,730","4,340","35.38%"
"Central Mississippi Correctional Facility","3,233","2,964","24.16%"
"South Mississippi Correctional Institution","2,306","2,117","17.26%"
"County Jails - Approved*","2,168","1,064","8.67%"
"County Jails - Unapproved**","0","3","0.02%"
"Community Work Centers","1,816","1,779","14.50%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,253","12,267","100.00%"
"Bolivar County Correctional Facility","294","292","9.68%"
"Carroll County Correctional Facility","250","249","8.26%"
"George County Correctional Facility","280","277","9.19%"
"Holmes County Correctional Facility","280","279","9.25%"
"Issaquena County Correctional Facility","274","274","9.09%"
"Jefferson County Correctional Facility","250","249","8.26%"
"Kemper County Correctional Facility","280","277","9.19%"
"Leake County Correctional Facility","280","280","9.29%"
"Marion County Correctional Facility","280","280","9.29%"
"Stone County Correctional Facility","280","280","9.29%"
"Winston County Correctional Facility","280","278","9.22%"
"TOTAL REGIONAL FACILITIES","3,028","3,015","100.00%"
"Delta Correctional Facility","972","968","20.24%"
"East MS Correctional Facility","1,000","846","17.69%"
"Marshall County Correctional Facility","1,000","992","20.74%"
"Tallahatchie County Correctional Facility","128","125","2.61%"
"Walnut Grove Correctional Facility","1,000","918","19.20%"
"Wilkinson County Correctional Facility","1,000","933","19.51%"
"TOTAL PRIVATE PRISONS","5,100","4,782","100.00%"
"Community Trusties","2","21","0.09%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","44","0.18%"
"Court Order","0","304","1.25%"
"TOTAL CAPACITY & CUSTODY POPULATION","22,403","20,433","84.09%"
"Intensive Supervision Program","0","1,583","6.51%"
"Earned Release Supervision Program","0","1,839","7.57%"
"Medical Release","00","11","0.05%"
"TOTAL COMMUNITY CORRECTIONS","00","3,433","14.13%"
"Other Custody","0","305","1.26%"
"Off-Grounds Medical (Hospital)","0","6","0.02%"
"At Large (Escapees & Walk-Aways)","0","123","0.51%"
"TOTAL","22,403","24,300","100.00%"
