"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4648","3333","25.67%"
"Central Mississippi Correctional Facility","3665","3165","24.38%"
"South Mississippi Correctional Institution","3282","3199","24.64%"
"County Jails - Approved*","1753","1359","10.47%"
"County Jails - Unapproved**","0","316","2.43%"
"Community Work Centers","1848","1611","12.41%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15196","12983","100.00%"
"Alcorn County Correctional Facility","300","294","6.79%"
"Bolivar County Correctional Facility","369","369","8.52%"
"Carroll County Correctional Facility","280","279","6.44%"
"Chickasaw County Correctional Facility","300","298","6.88%"
"George County Correctional Facility","280","280","6.46%"
"Holmes County Correctional Facility","280","280","6.46%"
"Issaquena County Correctional Facility","274","274","6.33%"
"Jefferson County Correctional Facility","280","277","6.39%"
"Kemper County Correctional Facility","355","338","7.80%"
"Leake County Correctional Facility","280","278","6.42%"
"Marion County Correctional Facility","280","279","6.44%"
"Stone County Correctional Facility","280","279","6.44%"
"Washington County Correctional Facility","300","230","5.31%"
"Winston County Correctional Facility","280","279","6.44%"
"Yazoo County Correctional Facility","300","298","6.88%"
"TOTAL REGIONAL FACILITIES","4438","4332","100.00%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1312","30.70%"
"Marshall County Correctional Facility","1000","997","23.33%"
"Walnut Grove Correctional Facility","1500","1060","24.80%"
"Wilkinson County Correctional Facility","1000","905","21.17%"
"TOTAL PRIVATE PRISONS","5972","4274","100.00%"
"Community Trusties","22","12",".05%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","54",".21%"
"Court Order","0","307","1.20%"
"TOTAL CAPACITY & CUSTODY POPULATION","25628","21962","85.63%"
"Intensive Supervision Program","0","1557","6.07%"
"Earned Release Supervision Program","0","1612","6.28%"
"Medical Release","00","22",".09%"
"TOTAL COMMUNITY CORRECTIONS","0","3191","12.44%"
"Other Custody","0000","449","1.75%"
"Off-Grounds Medical (Hospital)","0","12",".05%"
"At Large (Escapees & Walk-Aways)","0","35",".14%"
"TOTAL","25628","25649","100.00%"
