"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4435","3919","28.16%"
"Central Mississippi Correctional Facility","3665","3468","24.92%"
"South Mississippi Correctional Institution","3204","3136","22.54%"
"County Jails - Approved*","1785","1292","9.28%"
"County Jails - Unapproved**","0","288","2.07%"
"Community Work Centers","1848","1813","13.03%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14937","13916","100.00%"
"Bolivar County Correctional Facility","294","290","9.43%"
"Carroll County Correctional Facility","280","280","9.10%"
"George County Correctional Facility","280","279","9.07%"
"Holmes County Correctional Facility","280","279","9.07%"
"Issaquena County Correctional Facility","274","274","8.91%"
"Jefferson County Correctional Facility","280","278","9.04%"
"Kemper County Correctional Facility","280","279","9.07%"
"Leake County Correctional Facility","280","278","9.04%"
"Marion County Correctional Facility","280","280","9.10%"
"Stone County Correctional Facility","280","280","9.10%"
"Winston County Correctional Facility","280","279","9.07%"
"TOTAL REGIONAL FACILITIES","3088","3076","100.00%"
"Delta Correctional Facility","972","955","17.39%"
"East MS Correctional Facility","1500","1355","24.67%"
"Marshall County Correctional Facility","1000","982","17.88%"
"Walnut Grove Correctional Facility","1500","1225","22.30%"
"Wilkinson County Correctional Facility","1000","976","17.77%"
"TOTAL PRIVATE PRISONS","5972","5493","100.00%"
"Community Trusties","2","17","0.06%"
"Emergency Suspension","0","2","0.00%"
"Pending File Review","0","79","0.30%"
"Court Order","0","250","0.95%"
"TOTAL CAPACITY & CUSTODY POPULATION","24019","22831","87.03%"
"Intensive Supervision Program","0","1178","4.49%"
"Earned Release Supervision Program","0","1805","6.88%"
"Medical Release","00","38","0.14%"
"TOTAL COMMUNITY CORRECTIONS","00","3021","11.52%"
"Other Custody","0","322","1.23%"
"Off-Grounds Medical (Hospital)","0","5","0.02%"
"At Large (Escapees & Walk-Aways)","0","55","0.21%"
"TOTAL","24019","26234","100.00%"
