"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3590","3337","16.02%"
"Central Mississippi Correctional Facility","3750","3480","16.71%"
"South Mississippi Correctional Institution","3082","2617","12.57%"
"Youthful Offender Facility","58","26","0.12%"
"County Jails - Approved","1781","687","3.30%"
"County Jails - Unapproved","0","325","1.56%"
"Community Work Centers","1154","669","3.21%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13415","11141","53.50%"
"Alcorn County Correctional Facility","300","288","1.38%"
"Bolivar County Correctional Facility","369","288","1.38%"
"Carroll County Correctional Facility","280","270","1.30%"
"Chickasaw County Correctional Facility","310","302","1.45%"
"George County Correctional Facility","280","305","1.46%"
"Holmes County Correctional Facility","280","254","1.22%"
"Issaquena County Correctional Facility","274","270","1.30%"
"Jefferson County Correctional Facility","280","278","1.33%"
"Kemper County Correctional Facility","355","352","1.69%"
"Leake County Correctional Facility","280","202","0.97%"
"Marion County Correctional Facility","280","280","1.34%"
"Stone County Correctional Facility","326","326","1.57%"
"Washington County Correctional Facility","300","235","1.13%"
"Winston County Correctional Facility","280","275","1.32%"
"Yazoo County Correctional Facility","300","292","1.40%"
"TOTAL REGIONAL FACILITIES","4494","4217","20.25%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1225","5.88%"
"Marshall County Correctional Facility","1000","999","4.80%"
"Walnut Grove Correctional Facility","1500","0","0.00%"
"Wilkinson County Correctional Facility","1000","890","4.27%"
"TOTAL PRIVATE PRISONS","5972","3114","14.95%"
"Community Trusties","0","37",".18%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","108",".52%"
"TVC","0","22",".11%"
"Transitional Housing","0","37","0.2%"
"Court Order","0","227","1.09%"
"RRP","0","105",".50%"
"TOTAL CAPACITY & CUSTODY POPULATION","23881","19008","91.27%"
"Intensive Supervision Program","0","693","3.33%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","611","2.93%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","12","0.06%"
"TOTAL COMMUNITY CORRECTIONS","0","1325","6.36%"
"Other Custody","0","456","2.19%"
"Off-Grounds Medical (Hospital)","0","6","0.03%"
"At Large (Escapees & Walk-Aways)","0","30","0.14%"
"TOTAL","23881","20825","100.00%"
