"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4648","3358","25.86%"
"Central Mississippi Correctional Facility","3557","3297","25.39%"
"South Mississippi Correctional Institution","3282","3189","24.56%"
"Youthful Offender Facility","42","39","0.30%"
"County Jails - Approved*","1882","1478","11.38%"
"County Jails - Unapproved**","0","257","1.98%"
"Community Work Centers","1848","1367","10.53%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15259","12985","100.00%"
"Alcorn County Correctional Facility","300","281","6.37%"
"Bolivar County Correctional Facility","369","369","8.36%"
"Carroll County Correctional Facility","280","280","6.34%"
"Chickasaw County Correctional Facility","300","300","6.80%"
"George County Correctional Facility","280","278","6.30%"
"Holmes County Correctional Facility","280","280","6.34%"
"Issaquena County Correctional Facility","274","274","6.21%"
"Jefferson County Correctional Facility","280","280","6.34%"
"Kemper County Correctional Facility","355","355","8.04%"
"Leake County Correctional Facility","280","280","6.34%"
"Marion County Correctional Facility","280","280","6.34%"
"Stone County Correctional Facility","280","280","6.34%"
"Washington County Correctional Facility","300","295","6.68%"
"Winston County Correctional Facility","280","280","6.34%"
"Yazoo County Correctional Facility","300","301","6.82%"
"TOTAL REGIONAL FACILITIES","4438","4413","100.00%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1200","27.24%"
"Marshall County Correctional Facility","1000","1000","22.70%"
"Walnut Grove Correctional Facility","1500","1304","29.60%"
"Wilkinson County Correctional Facility","1000","902","20.47%"
"TOTAL PRIVATE PRISONS","5972","4406","100.00%"
"Community Trusties","22","14",".05%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","40",".15%"
"Court Order","0","340","1.31%"
"TOTAL CAPACITY & CUSTODY POPULATION","25691","22198","85.44%"
"Intensive Supervision Program","0","1549","5.96%"
"Earned Release Supervision Program","0","1669","6.42%"
"Medical Release","0","27",".10%"
"TOTAL COMMUNITY CORRECTIONS","0","3245","12.49%"
"Other Custody","0","491","1.89%"
"Off-Grounds Medical (Hospital)","0000","11",".04%"
"At Large (Escapees & Walk-Aways)","0","35",".13%"
"TOTAL","25691","25980","100.00%"
