"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3,590","3,239","15.42%"
"Central Mississippi Correctional Facility","3,750","3,498","16.65%"
"South Mississippi Correctional Institution","3,082","2,653","12.63%"
"Youthful Offender Facility","58","25","0.12%"
"County Jails - Approved","1,781","730","3.47%"
"County Jails - Unapproved","0","344","1.64%"
"Community Work Centers","1,154","605","2.88%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,415","11,094","52.81%"
"Alcorn County Correctional Facility","300","300","1.43%"
"Bolivar County Correctional Facility","369","294","1.40%"
"Carroll County Correctional Facility","280","279","1.33%"
"Chickasaw County Correctional Facility","310","306","1.46%"
"George County Correctional Facility","280","317","1.51%"
"Holmes County Correctional Facility","280","275","1.31%"
"Issaquena County Correctional Facility","274","319","1.52%"
"Jefferson County Correctional Facility","280","278","1.32%"
"Kemper County Correctional Facility","355","339","1.61%"
"Leake County Correctional Facility","280","268","1.28%"
"Marion County Correctional Facility","280","279","1.33%"
"Stone County Correctional Facility","326","280","1.33%"
"Washington County Correctional Facility","300","182","0.87%"
"Winston County Correctional Facility","280","279","1.33%"
"Yazoo County Correctional Facility","300","298","1.42%"
"TOTAL REGIONAL FACILITIES","4,494","4,293","20.43%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,267","6.03%"
"Marshall County Correctional Facility","1,000","999","4.76%"
"Walnut Grove Correctional Facility","1,500","0","0.00%"
"Wilkinson County Correctional Facility","1,000","937","4.46%"
"TOTAL PRIVATE PRISONS","5,972","3,203","15.25%"
"Community Trusties","0","9",".04%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","63",".30%"
"TVC","0","88",".42%"
"Transitional Housing","0","41",".20%"
"Court Order","0","227","1.08%"
"RRP","0","69",".33%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","19,087","90.85%"
"Intensive Supervision Program","0","804","3.83%"
"Conditional Release","0","2","0.01%"
"Earned Release Supervision Program","0","569","2.71%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","14","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1,395","6.64%"
"Other Custody","0","488","2.32%"
"Off-Grounds Medical (Hospital)","0","15","0.07%"
"At Large (Escapees & Walk-Aways)","0","24","0.11%"
"TOTAL","23,881","21,009","100.00%"
