"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","5551","5344","40.82%"
"Central Mississippi Correctional Facility","3049","3016","23.04%"
"South Mississippi Correctional Institution","2214","2052","15.67%"
"County Jails - Approved*","2146","1332","10.17%"
"County Jails - Unapproved**","0","44","0.34%"
"Community Work Centers","1320","1303","9.95%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14280","13091","100.00%"
"Bolivar County Correctional Facility","250","1","0.05%"
"Carroll County Correctional Facility","250","222","11.07%"
"Holmes County Correctional Facility","250","218","10.87%"
"Issaquena County Correctional Facility","250","219","10.92%"
"Jefferson County Correctional Facility","250","228","11.37%"
"Kemper County Correctional Facility","250","242","12.07%"
"Leake Correctional Facility","250","218","10.87%"
"Marion County Correctional Facility","250","219","10.92%"
"Stone County Correctional Facility","250","220","10.97%"
"Winston County Correctional Facility","250","218","10.87%"
"Regional Facilities","2500","2005","100.00%"
"Delta Correctional Facility","1000","861","23.87%"
"East MS Correctional Facility","500","502","13.92%"
"Marshall County Correctional Facility","1000","886","24.56%"
"Walnut Grove Correctional Facility","500","507","14.06%"
"Wilkinson County Correctional Facility","900","851","23.59%"
"TOTAL PRIVATE PRISONS","3900","3607","100.00%"
"Community Trusties","30","23","0.11%"
"Emergency Suspension","0","5","0.02%"
"Court Order","0","207","0.95%"
"TOTAL CAPACITY & CUSTODY POPULATION","20710","18938","87.07%"
"Intensive Supervision Program","0","1457","6.70%"
"Earned Release Supervision Program","0","1040","4.78%"
"Medical Release","0","0","0.00%"
"TOTAL COMMUNITY CORRECTIONS","0","2497","11.48%"
"Other Custody","0","218","1.00%"
"University of MS Medical Center","0","7","0.03%"
"At Large (Escapees & Walk-Aways)","0","91","0.42%"
"TOTAL","20710","21751","100.00%"
