"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","770","750","164","1,205","470"
"CMCF","885","1,104","164","840","334"
"SMCI","692","837","178","970","490"
"County Jails (approved)","710","592","19","40","28"
"County Jails (unapproved)","169","217","17","38","27"
"Private Prisons","415","793","261","2,025","638"
"Regional Correctional Facilities","976","1,070","305","1,209","787"
"Community Work Centers","959","568","1","3","0"
"Community Trusties","11","0","0","0"
"Pending File Review","26","3 4
5","2","9","2"
"Court Order","117","158","9","50","15"
"TOTAL CUSTODY POPULATION","5730","6,137","1,120","6,389","2,791"
"% OF TOTAL OFFENSES","25.85%","27.69%","5.05%","28.82%","12.59%"
"Intensive Supervison Program","806","750","18","42","7"
"Earned Release Supervision","503","505","194","418","1"
