"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","729","608","1,279","439"
"CMCF","832","959","917","323"
"SMCI","800","819","1,073","455"
"County Jails (approved)","746","473","42","19"
"County Jails (unapproved)","129","185","68","23"
"Private Prisons","547","931","2,462","721"
"Regional Correctional Facilities","898","889","1,475","719"
"Community Work Centers","902","541","4","0"
"Community Trusties","5","4","5","0"
"Pending File Review","56","58","14","4"
"Court Order","134","132","51","11"
"TOTAL CUSTODY POPULATION","5,778","5,599","7,390","2,714"
"Intensive Supervison Program","845","739","51","7 5"
"Earned Release Supervision","465","551","635"
"Medical Release","13","6","4","0"
"Other Custody","173","141","78","16"
