"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","759","631","1,375","478"
"CMCF","817","925","901","321"
"SMCI","777","821","1,104","444"
"County Jails (approved)","799","509","50","19"
"County Jails (unapproved)","128","212","54","21"
"Private Prisons","452","796","2,256","659"
"Regional Correctional Facilities","944","980","1,584","756"
"Community Work Centers","841","500","4","0"
"Community Trusties","7","6","0","0"
"Pending File Review","57","62","9","3"
"Court Order","120","145","66","16"
"TOTAL CUSTODY POPULATION","5,701","5,587","7,403","2,717"
"Intensive Supervison Program","831","742","51","8 6"
"Earned Release Supervision","468","549","617"
"Medical Release","12","6","4","0"
"Other Custody","184","148","80","18"
