"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","VIOLENT OFFENSES","TOTAL"
"MSP","767","686","1,362","470"
"CMCF","853","999","959","308"
"SMCI","746","826","1,135","469"
"County Jails (approved)","699","508","44","24"
"County Jails (unapproved)","191","282","83","26"
"Private Prisons","423","808","2,303","653"
"Regional Correctional Facilities","945","1,007","1,535","765"
"Community Work Centers","964","585","6","0"
"Community Trusties","4","0","0"
"Pending File Review","6 2
1","29","15","2"
"Court Order","141","161","77","14"
"TOTAL CUSTODY POPULATION","5,756","5,895","7,519","2,731"
"Intensive Supervison Program","785","708","48","8 5"
"Earned Release Supervision","473","542","599"
"Medical Release","13","4","5"
"Other Custody","190","153","79","0 1
6"
