county,job title,Field 16,address,alt address,phone,alt phone,fax,alt fax,email
Adams,Board Attorney,Scott Slover,"314 State St, Natchez 39120",,(601) 442-0075,,(601) 442-9896,,
Alcorn,Board Attorney,Bill Davis,"511 N Franklin St, Corinth 38835",,(662) 396-4808,,(662) 396-4805,,
Amite,Board Attorney,Reggie Jones,"PO Box 436, Liberty 39645 ",,(601) 657-4113,,(601) 657-4802,,
Attala,Board Attorney,L. Scott Pickle,"PO Box 701, Kosciusko 39090",,(662) 289-8888,,(662) 289-8889,,
Benton,Board Attorney,John S Farese,"PO Box 98, Ashland 38603 ",,(662) 224-6211,,(662) 224-6303,,
Bolivar,Board Attorney,Ellis Turnage,"PO Box 216, Cleveland 38732",,(662) 843-2811,,(662) 843-3972,,
Calhoun,Board Attorney,"Haven (""Sonny"") Clanton Jr.","PO Box 630, Calhoun City 38916",,(662) 628-4933,,(662) 628-4030,,
Carroll,Board Attorney,M. Kevin Horan,"PO Box 2166, Grenada 38902-2166",,(662) 226-2185,,(662) 226-2127,,
Chickasaw,Board Attorney,Gary Carnathan,"316 N Boradway St, Tupelo 38804",,(662) 842-3321,,,,
Choctaw,Board Attorney,Kacey Young,"PO Box 250, Ackerman 39735",,(662) 285-6329,,(662) 285-3444,,
Claiborne,Board Attorney,Barbara Blackmon,"907 Peace St, Canton 39046",,(601) 859-1567,,(601) 859-2311,,
Clarke,Board Attorney,Greg Snowden,"PO Box 3807, Meridian 39303-3807",,(601) 693-5700,,,,
Clay,Board Attorney,Bob Marshall,"PO Box 835, West Point 39773.",,(662) 494-5184,,(662) 492-4059,,
Coahoma,Board Attorney,Tom Ross Jr.,"PO Box 1196, Clarksdale 38614",,(662) 627-5251,,,,
Copiah,Board Attorney,Elise Munn,"P. O. Drawer 768, Hazlehurst 39083",,(601) 894-4150,,(601) 894-4717,,
Covington,Board Attorney,Tommy Rogers,"PO Box 1415, Collins 39428",,(601) 765-8235,,(601) 765-8237,,
DeSoto,Board Attorney,Tony Nowak,"2545 Caffey St, Hernando 38632",,(662) 429-7888,,(662) 429-0107,,
Forrest,Board Attorney,David Miller,"PO Box 1310, Hattiesburg 39403-1310 ",,(601) 545-6006,,(601) 545-6172,,
Franklin,Board Attorney,"William (""Bill"") Halford","85 Main St. W, Meadville 39653",,(601) 384-2100,,(601) 384-2121,,
George,Board Attorney,Robert Shepard,"922 Manila St, Lucedale 39452",,(601) 947-7575,,,,
Greene,Board Attorney,Roun McNeal,"PO Box 667, Leakesville 39451",,(601) 394-2394,,(601) 394-4650,,
Grenada,Board Attorney,Jay Gore III,"PO Box 901, Grenada 38902",,(662) 226-1891,,(662) 226-2237,,
Hancock,Board Attorney,Gary Yarborough,"854 Hwy. 90,Ste A, Bay St. Louis 39520",,(228) 467-5771,,,,
Harrison,Board Attorney,Tim Holleman,"1720 23rd Ave, Gulfport 39501 ",,(228) 863-3142,,,,
Hinds,Board Attorney,Pieter Teeuwissen,"PO Box 686, Jackson 39205",,(601) 968-6797,,(601) 968-6594,,
Holmes,Board Attorney,Katherine B. Riley,"PO Box 927, Lexington 39095",,(662) 834-2488,,(662) 834-6136,,
Humphreys,Board Attorney,Willie Bailey,"PO Box 189, Greenville 38702",,(662) 335-1966,,(662) 335-1969,,
Issaquena,Board Attorney,Charles Weissinger,"PO Box 215, Rolling Fork 39159",,(662) 873-6258,,(662) 873-6903,,
Itawamba,Board Attorney,Bo Russell,"PO Box 187, Fulton 38843",,(662) 862-4656,,(662) 862-7159,,
Jackson,Board Attorney,Gary Evans,"PO Box 998, Pascagoula 39568-0998",,(228) 769-3371,,(228) 769-3119,,
Jasper,Board Attorney,William Ruffin,"PO Box 565, Bay Springs 39422 ",,(601) 764-4555,,(601) 764-2234,,
Jefferson,Board Attorney,Everett SanderS,"PO Box 565, Natchez 39121",,(601) 445-5570,,(601) 445-0777,,
Jefferson Davis,Board Attorney,Wes Daughdrill,"PO Box 6005, Ridgeland 39158-6005",,(601) 792-8591,,(601) 792-0311,,
Jones,Board Attorney,M. Wayne Thompson,"PO Box 6509, Laurel 39441",,(601) 426-0056,,(601) 426-0058,,
Kemper,Board Attorney,"Robert (""Bo"") Bailey","PO Box 188, DeKalb 39328 ",,(601) 743-4477,,(601) 743-5273,,
Lafayette,Board Attorney,David O’Donnell,"PO Drawer 676, Oxford 38655",,(662) 234-0900,,,,
Lamar,Board Attorney,Perry Phillips,"PO Box 1978, Purvis 39475",,(601) 794-4545,,(601) 794-1049,,
Lauderdale,Board Attorney,Rick Barry,"PO Box 2009, Meridian 39302",,(601) 693-2393,,(601) 482-9744,,
Lawrence,Board Attorney,John D. Sutton,"PO Box 1157, Monticello 39654",,(601) 587-7900,,(601) 587-7916,,
Leake,Board Attorney,Jeff Webb,"PO Box 452, Carthage 39051",,(601) 267-9762,,(601) 267-6132,,
Lee,Board Attorney,Gary Carnathan ,"PO Box 70, Tupelo 38802",,(662) 842-3321,,(662) 842-3324,,
Leflore,Board Attorney,Joyce Chiles,"PO Box 250, Greenwood 38935",,(662) 822-5940,,(662) 455-7965,,
Lincoln,Board Attorney,Robert Allen,"PO Box 751, Brookhaven 39602",,(601) 833-4361,,(601) 833-6647,,
Lowndes,Board Attorney,Tim Hudson,"PO Box 1364, Columbus 39703 ",,(662) 328-2711,,(662) 328-0745,,
