"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","5,631","5,457","40.11%"
"Central Mississippi Correctional Facility","3,099","3,031","22.28%"
"South Mississippi Correctional Institution","2,214","2,068","15.20%"
"County Jails - Approved*","2,113","1,699","12.49%"
"County Jails - Unapproved**","0","84","0.62%"
"Community Work Centers","1350","1,266","9.31%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,407","13,605","100.00%"
"Bolivar County Correctional Facility","250","228","9.13%"
"Carroll County Correctional Facility","250","227","9.09%"
"GeorgeCounty Correctional Facility","250","227","9.09%"
"Holmes County Correctional Facility","250","231","9.25%"
"Issaquena County Correctional Facility","250","229","9.17%"
"Jefferson County Correctional Facility","250","226","9.05%"
"Kemper County Correctional Facility","250","223","8.93%"
"Leake Correctional Facility","250","226","9.05%"
"Marion County Correctional Facility","250","227","9.09%"
"Stone County Correctional Facility","250","226","9.05%"
"Winston County Correctional Facility","250","226","9.05%"
"REGIONAL FACILITIES","2,750","2,496","100.00%"
"East MS Correctional Facility","1,000","735","21.38%"
"Marshall County Correctional Facility","1,000","991","28.83%"
"Walnut Grove Correctional Facility","750","722","21.01%"
"Wilkinson County Correctional Facility","1,000","989","28.78%"
"TOTAL PRIVATE PRISONS","3,750","3,437","100.00%"
"Community Trusties","30","18","0.08%"
"Emergency Suspension","0","9","0.04%"
"Court Order","0","281","1.24%"
"TOTAL CAPACITY & CUSTODY POPULATION","20,937","19,846","87.47%"
"Intensive Supervision Program","0","1,476","6.51%"
"Earned Release Supervision Program","0","1,050","4.63%"
"Medical Release","0","0","0.00%"
"TOTAL COMMUNITY CORRECTIONS","0","2,526","11.13%"
"Other Custody","0","223","0.98%"
"University of MS Medical Center","0","7","0.03%"
"At Large (Escapees & Walk-Aways)","0","87","0.38%"
"TOTAL","20,937","22,689","100.00%"
