"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","5,768","5,704","38.64%"
"Central Mississippi Correctional Facility","3,233","3,231","21.89%"
"South Mississippi Correctional Institution","2,214","2,045","13.86%"
"County Jails - Approved*","2,176","1,893","12.83%"
"County Jails - Unapproved**","0","249","1.69%"
"Community Work Centers","1816","1,638","11.10%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,207","14,760","100.00%"
"Bolivar County Correctional Facility","250","245","8.92%"
"Carroll County Correctional Facility","250","249","9.07%"
"GeorgeCounty Correctional Facility","250","246","8.96%"
"Holmes County Correctional Facility","250","248","9.03%"
"Issaquena County Correctional Facility","250","253","9.21%"
"Jefferson County Correctional Facility","250","251","9.14%"
"Kemper County Correctional Facility","250","250","9.10%"
"Leake Correctional Facility","250","248","9.03%"
"Marion County Correctional Facility","250","255","9.29%"
"Stone County Correctional Facility","250","251","9.14%"
"Winston County Correctional Facility","250","250","9.10%"
"Regional Facilities","2,750","2,746","100.00%"
"East MS Correctional Facility","1,000","728","21.20%"
"Marshall County Correctional Facility","1,000","991","28.86%"
"Walnut Grove Correctional Facility","750","718","20.91%"
"Wilkinson County Correctional Facility","1,000","997","29.03%"
"TOTAL PRIVATE PRISONS","3,750","3,434","100.00%"
"Community Trusties","30","22","0.09%"
"Emergency Suspension","0","0","0.02%"
"Court Order","00","50","0.00%"
"TOTAL CAPACITY & CUSTODY POPULATION","21,737","20,967","88.33%"
"Intensive Supervision Program","0","1,281","5.40%"
"Earned Release Supervision Program","0","1,224","5.16%"
"Medical Release","0","0","0.00%"
"TOTAL COMMUNITY CORRECTIONS","0","2,505","10.55%"
"Other Custody","0","220","0.93%"
"University of MS Medical Center","0","0","0.00%"
"At Large (Escapees & Walk-Aways)","0","46","0.19%"
"TOTAL","21,737","23,738","100.00%"
