"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,648","3,379","25.53%"
"Central Mississippi Correctional Facility","3,665","3,314","25.04%"
"South Mississippi Correctional Institution","3,282","3,183","24.05%"
"County Jails - Approved*","1,816","1,510","11.41%"
"County Jails - Unapproved**","0","383","2.89%"
"Community Work Centers","1,848","1,466","11.08%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,259","13,235","100.00%"
"Alcorn County Correctional Facility","300","298","6.86%"
"Bolivar County Correctional Facility","369","368","8.47%"
"Carroll County Correctional Facility","280","279","6.42%"
"Chickasaw County Correctional Facility","300","300","6.90%"
"George County Correctional Facility","280","280","6.44%"
"Holmes County Correctional Facility","280","280","6.44%"
"Issaquena County Correctional Facility","274","274","6.30%"
"Jefferson County Correctional Facility","280","280","6.44%"
"Kemper County Correctional Facility","355","339","7.80%"
"Leake County Correctional Facility","280","278","6.40%"
"Marion County Correctional Facility","280","279","6.42%"
"Stone County Correctional Facility","280","277","6.37%"
"Washington County Correctional Facility","300","237","5.45%"
"Winston County Correctional Facility","280","279","6.42%"
"Yazoo County Correctional Facility","300","299","6.88%"
"TOTAL REGIONAL FACILITIES","4,438","4,347","100.00%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,143","26.86%"
"Marshall County Correctional Facility","1,000","995","23.38%"
"Walnut Grove Correctional Facility","1,500","1,214","28.53%"
"Wilkinson County Correctional Facility","1,000","903","21.22%"
"TOTAL PRIVATE PRISONS","5,972","4,255","100.00%"
"Community Trusties","22","14",".05%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","28",".11%"
"Court Order","0","401","1.54%"
"TOTAL CAPACITY & CUSTODY POPULATION","25,691","22,280","85.43%"
"Intensive Supervision Program","0","1,663","6.38%"
"Earned Release Supervision Program","0","1,613","6.19%"
"Medical Release","00","25",".10%"
"TOTAL COMMUNITY CORRECTIONS","0","3,301","12.66%"
"Other Custody","0000","456","1.75%"
"Off-Grounds Medical (Hospital)","0","8",".03%"
"At Large (Escapees & Walk-Aways)","0","34",".13%"
"TOTAL","25,691","26,079","100.00%"
