"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,648","3,369","25.03%"
"Central Mississippi Correctional Facility","3,557","3,284","24.40%"
"South Mississippi Correctional Institution","3,282","3,207","23.83%"
"Youthful Offender Facility","42","28","0.21%"
"County Jails - Approved*","1,872","1,497","11.12%"
"County Jails - Unapproved**","0","532","3.95%"
"Community Work Centers","1,848","1,543","11.46%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,249","13,460","100.00%"
"Alcorn County Correctional Facility","300","297","6.81%"
"Bolivar County Correctional Facility","369","370","8.49%"
"Carroll County Correctional Facility","280","280","6.42%"
"Chickasaw County Correctional Facility","300","298","6.84%"
"George County Correctional Facility","280","278","6.38%"
"Holmes County Correctional Facility","280","279","6.40%"
"Issaquena County Correctional Facility","274","275","6.31%"
"Jefferson County Correctional Facility","280","280","6.42%"
"Kemper County Correctional Facility","355","336","7.71%"
"Leake County Correctional Facility","280","278","6.38%"
"Marion County Correctional Facility","280","279","6.40%"
"Stone County Correctional Facility","280","279","6.40%"
"Washington County Correctional Facility","300","255","5.85%"
"Winston County Correctional Facility","280","277","6.35%"
"Yazoo County Correctional Facility","300","298","6.84%"
"TOTAL REGIONAL FACILITIES","4,438","4,359","100.00%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,119","25.98%"
"Marshall County Correctional Facility","1,000","997","23.15%"
"Walnut Grove Correctional Facility","1,500","1,290","29.95%"
"Wilkinson County Correctional Facility","1,000","901","20.92%"
"TOTAL PRIVATE PRISONS","5,972","4,307","100.00%"
"Community Trusties","22","13",".05%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","53",".20%"
"Court Order","0","337","1.28%"
"TOTAL CAPACITY & CUSTODY POPULATION","25,681","22,529","85.48%"
"Intensive Supervision Program","0","1,608","6.10%"
"Earned Release Supervision Program","0","1,666","6.32%"
"Medical Release","0","27",".10%"
"TOTAL COMMUNITY CORRECTIONS","0","3,301","12.53%"
"Other Custody","0","480","1.82%"
"Off-Grounds Medical (Hospital)","0000","12",".05%"
"At Large (Escapees & Walk-Aways)","0","33",".13%"
"TOTAL","25,681","26,355","100.00%"
