"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","3,590","3,264","15.53%"
"Central Mississippi Correctional Facility","3,750","3,742","17.81%"
"South Mississippi Correctional Institution","3,082","3,053","14.53%"
"Youthful Offender Facility","58","36","0.17%"
"County Jails - Approved","1,781","662","3.15%"
"County Jails - Unapproved","0","280","1.33%"
"Community Work Centers","1,154","647","3.08%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,415","11,684","55.60%"
"Alcorn County Correctional Facility","300","239","1.14%"
"Bolivar County Correctional Facility","369","291","1.38%"
"Carroll County Correctional Facility","280","269","1.28%"
"Chickasaw County Correctional Facility","310","240","1.14%"
"George County Correctional Facility","280","198","0.94%"
"Holmes County Correctional Facility","280","200","0.95%"
"Issaquena County Correctional Facility","274","268","1.28%"
"Jefferson County Correctional Facility","280","277","1.32%"
"Kemper County Correctional Facility","355","262","1.25%"
"Leake County Correctional Facility","280","266","1.27%"
"Marion County Correctional Facility","280","267","1.27%"
"Stone County Correctional Facility","326","279","1.33%"
"Washington County Correctional Facility","300","173","0.82%"
"Winston County Correctional Facility","280","269","1.28%"
"Yazoo County Correctional Facility","300","256","1.22%"
"TOTAL REGIONAL FACILITIES","4,494","3,754","17.86%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,272","6.05%"
"Marshall County Correctional Facility","1,000","998","4.75%"
"Walnut Grove Correctional Facility","1,500","0","0.00%"
"Wilkinson County Correctional Facility","1,000","921","4.38%"
"TOTAL PRIVATE PRISONS","5,972","3,191","15.18%"
"Community Trusties","0","9",".04%"
"Emergency Suspension","","0",".00%"
"Pending File Review","","122",".58%"
"TVC","0","63",".30%"
"Transitional Housing","0","25",".12%"
"Court Order","0","207",".99%"
"RRP","0","81",".39%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","19,136","91.06%"
"Intensive Supervision Program","0","771","3.67%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","580","2.76%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","16","0.08%"
"TOTAL COMMUNITY CORRECTIONS","0","1,376","6.55%"
"Other Custody","","467","2.22%"
"Off-Grounds Medical (Hospital)","","11","0.05%"
"At Large (Escapees & Walk-Aways)","0","25","0.12%"
"TOTAL","23,881","21,015","100.00%"
