"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","5,396","5,043","35.30%"
"Central Mississippi Correctional Facility","3,233","3,153","22.07%"
"South Mississippi Correctional Institution","2,214","2,167","15.17%"
"County Jails - Approved*","2,224","1,895","13.27%"
"County Jails - Unapproved**","0","273","1.91%"
"Community Work Centers","1816","1,754","12.28%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,883","14,285","100.00%"
"Bolivar County Correctional Facility","250","249","9.08%"
"Carroll County Correctional Facility","250","251","9.15%"
"GeorgeCounty Correctional Facility","250","248","9.04%"
"Holmes County Correctional Facility","250","250","9.12%"
"Issaquena County Correctional Facility","250","250","9.12%"
"Jefferson County Correctional Facility","250","250","9.12%"
"Kemper County Correctional Facility","250","249","9.08%"
"Leake Correctional Facility","250","249","9.08%"
"Marion County Correctional Facility","250","250","9.12%"
"Stone County Correctional Facility","250","248","9.04%"
"Winston County Correctional Facility","250","248","9.04%"
"REGIONAL FACILITIES","2,750","2,742","100.00%"
"Delta Correctional Facility (reopened 04-01-04)","950","734",""
"East MS Correctional Facility","1,000","726","17.39%"
"Marshall County Correctional Facility","1,000","993","23.78%"
"Walnut Grove Correctional Facility","750","727","17.41%"
"Wilkinson County Correctional Facility","1,000","995","23.83%"
"TOTAL PRIVATE PRISONS","4,700","4,175","82.42%"
"Community Trusties","30","24","0.10%"
"Emergency Suspension","00","00","0.00%"
"Court Order","0","0","0.00%"
"TOTAL CAPACITY & CUSTODY POPULATION","22,363","21,226","88.09%"
"Intensive Supervision Program","0","1,301","5.40%"
"Earned Release Supervision Program","0","1,297","5.38%"
"Medical Release","0","0","0.00%"
"TOTAL COMMUNITY CORRECTIONS","0","2,598","10.78%"
"Other Custody","0","228","0.95%"
"University of MS Medical Center","0","0","0.00%"
"At Large (Escapees & Walk-Aways)","0","44","0.18%"
"TOTAL","22,363","24,096","100.00%"
