"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,527","4,484","32.44%"
"Central Mississippi Correctional Facility","3,425","3,425","24.78%"
"South Mississippi Correctional Institution","2,784","2,660","19.25%"
"County Jails - Approved*","1,787","1,355","9.80%"
"County Jails - Unapproved**","0","123","0.89%"
"Community Work Centers","1,816","1,774","12.84%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,339","13,821","100.00%"
"Bolivar County Correctional Facility","294","278","9.42%"
"Carroll County Correctional Facility","280","276","9.35%"
"George County Correctional Facility","280","279","9.45%"
"Holmes County Correctional Facility","280","264","8.95%"
"Issaquena County Correctional Facility","274","265","8.98%"
"Jefferson County Correctional Facility","274","210","7.12%"
"Kemper County Correctional Facility","280","277","9.39%"
"Leake County Correctional Facility","280","277","9.39%"
"Marion County Correctional Facility","280","275","9.32%"
"Stone County Correctional Facility","280","276","9.35%"
"Winston County Correctional Facility","280","274","9.28%"
"TOTAL REGIONAL FACILITIES","3,082","2,951","100.00%"
"Delta Correctional Facility","972","966","20.35%"
"East MS Correctional Facility","1,000","878","18.49%"
"Marshall County Correctional Facility","1,000","979","20.62%"
"Tallahatchie County Correctional Facility","128","1","0.02%"
"Walnut Grove Correctional Facility","1,000","946","19.92%"
"Wilkinson County Correctional Facility","1,000","978","20.60%"
"TOTAL PRIVATE PRISONS","5,100","4,748","100.00%"
"Community Trusties","2","17","0.07%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","184","0.73%"
"Court Order","0","307","1.22%"
"TOTAL CAPACITY & CUSTODY POPULATION","22,543","22,028","87.23%"
"Intensive Supervision Program","0","1,157","4.58%"
"Earned Release Supervision Program","0","1,652","6.54%"
"Medical Release","00","9","0.04%"
"TOTAL COMMUNITY CORRECTIONS","00","2,818","11.16%"
"Other Custody","0","320","1.27%"
"Off-Grounds Medical (Hospital)","0","7","0.03%"
"At Large (Escapees & Walk-Aways)","0","81","0.32%"
"TOTAL","22,543","25,254","100.00%"
