"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,630","4,489","35.56%"
"Central Mississippi Correctional Facility","3,233","3,002","23.78%"
"South Mississippi Correctional Institution","2,306","2,135","16.91%"
"County Jails - Approved*","2,247","1,296","10.27%"
"County Jails - Unapproved**","0","40","0.32%"
"Community Work Centers","1,816","1,663","13.17%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,232","12,625","100.00%"
"Bolivar County Correctional Facility","250","249","8.82%"
"Carroll County Correctional Facility","250","250","8.85%"
"George County Correctional Facility","250","250","8.85%"
"Holmes County Correctional Facility","250","250","8.85%"
"Issaquena County Correctional Facility","274","269","9.53%"
"Jefferson County Correctional Facility","250","247","8.75%"
"Kemper County Correctional Facility","250","248","8.78%"
"Leake Correctional Facility","280","284","10.06%"
"Marion County Correctional Facility","250","249","8.82%"
"Stone County Correctional Facility","280","279","9.88%"
"Winston County Correctional Facility","250","249","8.82%"
"TOTAL REGIONAL FACILITIES","2,834","2,824","100.00%"
"Delta Correctional Facility","972","970","19.98%"
"East MS Correctional Facility","1,000","874","18.00%"
"Marshall County Correctional Facility","1,000","993","20.45%"
"Tallahatchie County Correctional Facility","128","128","2.64%"
"Walnut Grove Correctional Facility","1,000","913","18.80%"
"Wilkinson County Correctional Facility","1,000","978","20.14%"
"TOTAL PRIVATE PRISONS","5,100","4,856","100.00%"
"Community Trusties","022","14","0.06%"
"Emergency Suspension","0","0","0.00%"
"Pending File Review","0","50","0.20%"
"Court Order","0","398","1.61%"
"TOTAL CAPACITY & CUSTODY POPULATION","22,188","20,767","84.02%"
"Intensive Supervision Program","0","1,661","6.72%"
"Earned Release Supervision Program","0","1,877","7.59%"
"Medical Release","00","7","0.03%"
"TOTAL COMMUNITY CORRECTIONS","0","3,545","14.34%"
"Other Custody","0","294","1.19%"
"Off-Grounds Medical (Hospital)","0","7","0.03%"
"At Large (Escapees & Walk-Aways)","0","105","0.42%"
"TOTAL","22,188","24,718","100.00%"
