"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","3,590","3,239","15.50%"
"Central Mississippi Correctional Facility","3,750","3,639","17.42%"
"South Mississippi Correctional Institution","3,082","2,911","13.93%"
"Youthful Offender Facility","58","36","0.17%"
"County Jails - Approved","1,781","705","3.37%"
"County Jails - Unapproved","0","269","1.29%"
"Community Work Centers","1,154","646","3.09%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,415","11,445","54.78%"
"Alcorn County Correctional Facility","300","254","1.22%"
"Bolivar County Correctional Facility","369","287","1.37%"
"Carroll County Correctional Facility","280","271","1.30%"
"Chickasaw County Correctional Facility","310","249","1.19%"
"George County Correctional Facility","280","282","1.35%"
"Holmes County Correctional Facility","280","204","0.98%"
"Issaquena County Correctional Facility","274","263","1.26%"
"Jefferson County Correctional Facility","280","272","1.30%"
"Kemper County Correctional Facility","355","292","1.40%"
"Leake County Correctional Facility","280","252","1.21%"
"Marion County Correctional Facility","280","280","1.34%"
"Stone County Correctional Facility","326","279","1.34%"
"Washington County Correctional Facility","300","165","0.79%"
"Winston County Correctional Facility","280","262","1.25%"
"Yazoo County Correctional Facility","300","260","1.24%"
"TOTAL REGIONAL FACILITIES","4,494","3,872","18.53%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,204","5.76%"
"Marshall County Correctional Facility","1,000","998","4.78%"
"Walnut Grove Correctional Facility","1,500","0","0.00%"
"Wilkinson County Correctional Facility","1,000","945","4.52%"
"TOTAL PRIVATE PRISONS","5,972","3,147","15.06%"
"Community Trusties","0","7",".03%"
"Emergency Suspension","","0",".00%"
"Pending File Review","","110",".53%"
"TVC","0","72",".34%"
"Transitional Housing","0","21",".10%"
"Court Order","0","284","1.36%"
"RRP","0","75",".36%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","19,033","91.10%"
"Intensive Supervision Program","0","769","3.68%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","566","2.71%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","15","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1,359","6.50%"
"Other Custody","","466","2.23%"
"Off-Grounds Medical (Hospital)","","10","0.05%"
"At Large (Escapees & Walk-Aways)","0","25","0.12%"
"TOTAL","23,881","20,893","100.00%"
