"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","3,590","3,256","15.45%"
"Central Mississippi Correctional Facility","3,750","3,650","17.31%"
"South Mississippi Correctional Institution","3,082","3,048","14.46%"
"Youthful Offender Facility","58","38","0.18%"
"County Jails - Approved","1,781","719","3.41%"
"County Jails - Unapproved","0","348","1.65%"
"Community Work Centers","1,154","661","3.14%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,415","11,720","55.60%"
"Alcorn County Correctional Facility","300","237","1.12%"
"Bolivar County Correctional Facility","369","293","1.39%"
"Carroll County Correctional Facility","280","268","1.27%"
"Chickasaw County Correctional Facility","310","240","1.14%"
"George County Correctional Facility","280","198","0.94%"
"Holmes County Correctional Facility","280","200","0.95%"
"Issaquena County Correctional Facility","274","265","1.26%"
"Jefferson County Correctional Facility","280","269","1.28%"
"Kemper County Correctional Facility","355","259","1.23%"
"Leake County Correctional Facility","280","267","1.27%"
"Marion County Correctional Facility","280","271","1.29%"
"Stone County Correctional Facility","326","199","0.94%"
"Washington County Correctional Facility","300","200","0.95%"
"Winston County Correctional Facility","280","270","1.28%"
"Yazoo County Correctional Facility","300","242","1.15%"
"TOTAL REGIONAL FACILITIES","4,494","3,678","17.45%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,298","6.16%"
"Marshall County Correctional Facility","1,000","999","4.74%"
"Walnut Grove Correctional Facility","1,500","0","0.00%"
"Wilkinson County Correctional Facility","1,000","945","4.48%"
"TOTAL PRIVATE PRISONS","5,972","3,242","15.38%"
"Community Trusties","0","6",".03%"
"Emergency Suspension","","0",".00%"
"Pending File Review","00","142",".67%"
"TVC","0","50",".24%"
"Transitional Housing","0","37","0.2%"
"Court Order","0","231","1.10%"
"RRP","0","95",".45%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","19,201","91.09%"
"Intensive Supervision Program","0","778","3.69%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","583","2.77%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","14","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1,384","6.57%"
"Other Custody","","458","2.17%"
"Off-Grounds Medical (Hospital)","00","11","0.05%"
"At Large (Escapees & Walk-Aways)","0","26","0.12%"
"TOTAL","23,881","21,080","100.00%"
