"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","7,770","59.86%","2,138","53.53%","9,908","58.19%"
"White","5,087","39.19%","1,805","45.19%","6,892","40.48%"
"Hispanic","65","0.50%","18","0.45%","83","0.49%"
"Native American","28","0.22%","7","0.18%","35","0.21%"
"Asian","31","0.24%","26","0.65%","57","0.33%"
"Data Unavailable","0.00%","","0.00%","52","0.31%"
"TOTAL","12,981","100.00%","3,994","100.00%","17,027","100.00%"

"PAROLE STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","","""RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","1,074","68.93%","120","56.60%","1,194","67.46%"
"White","478","30.68%","91","42.92%","569","32.15%"
"Hispanic","3","0.19%","1","0.47%","4","0.23%"
"Native American","1","0.06%","","0.00%","","0.06%"
"Asian","2","0.13%","","0.00%","21","0.11%"
"TOTAL","1,558","100.00%","212","100.00%","1,770","100.00%"
