"Offense","Black","White","Hispanic","Other","Total","Percent"
"Aggravated Assault","56","21","1","0","78","3.82%"
"Burglary","48","102","0","0","150","7.34%"
"Homicide","54","46","0","1","101","4.94%"
"Manslaughter","77","39","1","0","117","5.72%"
"Sell/Manufacture/Distribute Drugs","100","118","1","1","220","10.76%"
"Possession/Drugs with Intent","26","99","0","1","126","6.16%"
"Possession of Drugs","99","202","2","0","303","14.82%"
"Property","273","332","4","3","612","29.94%"
"Robbery","79","42","0","0","121","5.92%"
"Sex Offense","13","47","0","0","60","2.94%"
"Violent","59","93","3","1","156","7.63%"
"Total","884","1,141","12","7","2,044","100.00%"
