"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RID status)","19,111","33.14%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Transitional Housing)","1,550","2.69%"
"Other Custody","527",".91%"
"At Large (Escapees & Walk-Aways)","27",".05%"
"Off-Grounds Medical (Hospital)","9",".02%"
"INMATE TOTAL","21,224","36.81%"
"PAROLEES","7,535","13.07%"
"TVC Parole","144","0.25%"
"PROBATIONERS","28,625","49.65%"
"TVC Probation","131","0.23%"
"PAROLEE AND PROBATIONER TOTAL","36,435","63.19%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","57,659","100.00%"
