"","Region I","Region II","Region III","TOTAL"
"Probation","2,470","2,801","2,954","8,225"
"Parole","2,254","1,240","2,535","6,029"
"Compact Probation","486","311","812","1,609"
"Compact Parole","176","142","256","574"
"Drug Court","904","442","1,311","2,657"
"Suspension","0","1","2","3"
"Earned Release Supervision","664","410","696","1,770"
"Medical Release","9","4","4","17"
"Non-Adjudicated Cases","790","979","1,223","2,992"
"Diversion Program","0","0","69","69"
"Post Release Supervision","3,214","2,321","3,045","8,580"
"ISP-Court Sentenced","390","211","427","1,028"
"ISP-Prison Releases","186","143","251","580"
