"FEMALES","","","","",""
"AGE","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"14","0","0","0","0","0"
"15","0","0","0","0","0"
"16","0","0","0","0","0"
"17","1","0","0","0","1"
"18 - 19","13","13","0","0","26"
"20 - 29","366","355","2","2","725"
"30 - 39","385","360","7","1","753"
"40 - 49","298","332","3","1","634"
"50 - 59","94","76","1","2","173"
"60 - 69","12","14","0","0","26"
"70 - 79","0","2","0","0","2"
"80 and Over","0","0","0","0","0"
"Verification Pending","1","2","0","0","3"
"TOTAL","1,170","1,154","13","6","2,343"
