"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"2","1","0","0","5",".12%"
"0","1","0","0","3",".07%"
"21","30","0","1","482","11.96%"
"0","0","0","0","1",".02%"
"0","0","0","0","2",".05%"
"1","0","0","0","4",".10%"
"0","0","0","0","1",".02%"
"0","0","0","0","1",".02%"
"4","3","0","0","9",".22%"
"0","0","0","0","1",".02%"
"0","0","0","0","2",".05%"
"0","0","0","0","2",".05%"
"0","0","0","0","4",".10%"
"1","1","0","0","12",".30%"
"1","0","0","0","4",".10%"
"1","0","0","0","13",".32%"
"0","0","0","0","1",".02%"
"1","0","0","0","3",".07%"
"0","0","0","0","1",".02%"
"0","0","0","0","1",".02%"
"0","15","0","0","33",".82%"
"0","1","0","0","4",".10%"
"0","1","0","0","3",".07%"
"2","2","0","0","4",".10%"
"0","1","0","0","3",".07%"
"0","1","0","0","1",".02%"
"3","4","0","0","43","1.07%"
"0","0","0","0","3",".07%"
"0","0","0","0","1",".02%"
"3","1","0","0","67","1.66%"
"0","0","0","0","1",".02%"
"0","0","0","0","1",".02%"
"1","0","0","0","49","1.22%"
"4","20","0","0","51","1.27%"
"0","1","0","0","9",".22%"
"5","6","0","0","147","3.65%"
"0","0","0","0","1",".02%"
