"MALES","","","",""
"PROPERTY","BLACK","WHITE","HISPANIC","OTHER"
"Accessory After the Fact","33","20","0","0"
"Aggravated DUI","12","15","0","0"
"Aiding Prisoner Escape","1","2","0","0"
"Bigamy","0","2","0","0"
"Bribery","0","1","0","0"
"Bribery - Public Official","1","0","0","0"
"Burglary","41","34","0","0"
"Carjacking","9","1","0","0"
"Carry Concealed Weapon","1","1","0","0"
"Child Abuse","23","16","0","0"
"Child Support","2","3","0","0"
"Conspiracy","13","13","0","0"
"Conspiracy to Commit a Crime","46","39","0","1"
"Contribute to Delinquency of Minor","0","0","0","0"
