"MALES","","","",""
"PROPERTY","BLACK","WHITE","HISPANIC","OTHER"
"Fraudulent Use of Drivers","2","0","0","0"
"Gambling","1","1","0","0"
"Grand Larceny","226","201","1","2"
"Habitual Violator","1","0","0","0"
"Harassing Communication","0","2","0","0"
"Harboring Escapee","1","2","0","0"
"Health and Safety","1","0","0","0"
"Hurling Missile at Auto","1","0","0","0"
"Identity Theft","1","1","0","0"
"Impeding Traffic","0","1","0","0"
"Invade Privacy","0","2","0","0"
"Larceny","0","2","0","0"
"Larceny From Auto","3","1","0","0"
"Leaving the Scene of Accident","4","4","2","0"
"Looting","3","0","0","0"
"Malicious Mischief","7","5","0","0"
"Marijuana Manufacturing","0","1","0","0"
"Neglect Family","0","2","0","0"
"Obscene Communication","0","1","0","0"
"Obstructing Justice","1","0","0","0"
"Obtain Contsub/Fraud","2","16","0","0"
"Operating Chop Shop","0","3","0","0"
"Operating Under the Influence","0","2","0","0"
"Perjury","0","0","0","0"
"Possess Counterfeited","2","0","0","0"
"Possession Forged","0","0","0","0"
"Possession Stolen Property","26","10","0","0"
"Possession Stolen Vehicle","2","1","0","0"
"Possession of Explosive Device","0","1","0","0"
"Possession of Firearm by Convicted Felon","46","17","0","0"
"Possession of Tools for Commission of Crime","1","0","0","0"
"Possession of  Weapon on Educational Property","1","0","0","0"
"Possession of Weapon/Felon","33","15","0","0"
"Prescription Forgery","3","24","0","0"
"Property Crime","2","6","0","0"
"Receiving Stolen Property","99","37","0","0"
"Receiving Stolen Vehicle","0","1","0","0"
