"MALES","","","",""
"VIOLENT","BLACK","WHITE","HISPANIC","OTHER"
"Abuse Vulnerable Adult","1","5","0","0"
"Aggravated Assault Police Strong Arm","24","11","1","0"
"Aggravated Assault Police Weapon","17","10","0","0"
"Aggravated Assault Public Official w/Weapon","1","0","0","0"
"Aggravated Assault Public Official Strong Arm","5","2","0","0"
"Aggravated Assault","873","216","4","3"
"Aggravated Assault/Domestic Involvement","21","7","0","0"
"Arson","31","37","1","0"
"Arson 1st Degree","10","9","0","0"
"Arson 2nd Degree","3","6","0","0"
"Arson 3rd Degree","4","2","0","0"
"Arson 4th Degree","1","0","0","0"
"Arson - Residence","4","5","0","0"
"Assault","4","0","0","0"
"Drive-By Shooting","44","6","0","2"
"Kidnapping","58","29","0","0"
"Mayhem","1","2","0","0"
"Simple Assault","16","5","0","0"
"TOTAL","1,118","352","6","5"
