"","2551","3551","3556","3554/3549/3547","TOTALS"
"MSP","$36,786,097","$1,324,994","$0","$0","$38,111,091"
"CMCF","$26,619,917","$377,061","$0","$0","$26,996,978"
"SMCI","$18,362,460","$392,025","$0","$0","$18,754,485"
"CWC","$7,729,431","$0","$0","$0","$7,729,431"
"PAR/PROB","$ 8,322,500","$180,280","$9,356,634","$0","$17,859,414"
"HOUSE ARREST","$0","$0","$5,009,370","$0","$5,009,370"
"REST CENT","$2,343,306","$0","$0","$0","$2,343,306"
"ADMIN(SAL)","$7,879,337","$0","$0","$0","$7,879,337"
"ADMIN(OTHER)","$18,479,838","$2,427,766","$92,654","$1,843,960","$22,844,218"
"UTILITIES","$4,149,654","$1,181,079","$415,398","$0","$5,746,131"
"DRUG TEST CUPS","$322,692","$0","$699,831","$0","$1,022,523"
"OFFICE RENT","$1,360,745","$0","$0","$0","$1,360,745"
"FOOD/CLOTHING","$9,991,944","$308,591","$0","$0","$10,300,535"
"FUEL","$1,339,070","$182,542","$200,000","$0","$1,721,612"
"","","","","",""
