"Data
MALES
FEMALES
Offenses
Total
Percent
Black
White
Hispanic
Other
Unavailable
Black
White
Hispanic
Other","","","","","","","","","","",""
"OTHER PROPERTY","","","","","","","","","","",""
"Aggravated DUI","0","6","0","0","0","0","0","0","0","6","3.26%"
"Arson","0","3","0","0","0","0","0","0","0","3","1.63%"
"Compounding Crime","0","1","0","0","0","0","0","0","0","1","0.54%"
"Conspiracy","0","0","0","0","0","0","1","0","0","1","0.54%"
"Credit Card Fraud","1","0","0","0","0","1","0","0","0","2","1.09%"
"Embezzlement","4","5","0","0","0","2","2","0","0","13","7.07%"
"False Pretense","0","2","0","0","0","3","2","0","0","7","3.80%"
"Felony Domestic Violence","1","1","0","0","0","0","0","0","0","2","1.09%"
"Felony DUI","38","33","0","1","0","1","1","0","0","74","40.22%"
"Forgery","0","0","0","0","0","0","1","0","0","1","0.54%"
"Grand Larceny","3","5","0","0","0","0","0","0","0","8","4.35%"
"Invade Privacy","0","1","0","0","0","0","0","0","0","1","0.54%"
"Mail Fraud","0","1","0","0","0","0","0","0","0","1","0.54%"
"Obtaining Controlled Substance by Fraud","1","0","0","0","0","0","2","0","0","3","1.63%"
"Possession Stolen Property","1","0","0","0","0","0","0","0","0","1","0.54%"
"Possession Weapon/Felony","9","1","0","1","0","0","0","0","0","11","5.98%"
"Prescription Forgery","2","2","0","0","0","0","0","0","0","4","2.17%"
"Production Pornography","0","1","0","0","0","0","0","0","0","1","0.54%"
"Receive Stolen Property","5","3","0","0","0","0","1","0","0","9","4.89%"
"Shoplifting","9","4","0","0","0","3","1","0","0","17","9.24%"
"Simpkle Assault - Police Officer","0","1","0","0","0","0","0","0","0","1","0.54%"
"Uttering Forgery","7","2","0","0","0","3","2","0","0","14","7.61%"
"Vehicle Theft","1","0","0","0","0","0","0","0","0","1","0.54%"
"Worthless Checks","1","0","0","0","0","0","1","0","0","2","1.09%"
"Total","83","72","0","2","0","13","14","0","0","184","100.00%"
