"MALES
FEMALES
Data
Offenses
Total
Percent
Black
White
Hispanic
Other
Unavailable
Black
White
Hispanic
Other","","","","","","","","","","",""
"VIOLENT","","","","","","","","","","",""
"Abuse Vulnerable Adult","2","1","0","0","0","1","0","0","0","4","0.98%"
"Aggravated Assault Police Strong Arm","5","2","1","0","0","0","0","0","0","8","1.97%"
"Aggravated Assault Police Weapon","4","3","0","0","0","0","0","0","0","7","1.72%"
"Aggravated Assault","241","69","0","1","0","30","1","0","0","342","84.03%"
"Aggravated Assault Domestic Involvement","1","0","0","0","0","0","0","0","0","1","0.25%"
"Drive-By Shooting","13","2","0","1","0","0","0","0","0","16","3.93%"
"Kidnapping","11","2","0","0","0","1","0","0","0","14","3.44%"
"Kidnap Adult","1","0","0","0","0","0","0","0","0","1","0.25%"
"Mayhem","2","0","0","0","0","0","0","0","0","2","0.49%"
"Simple Assault","5","6","0","0","0","1","0","0","0","12","2.95%"
"Total","285","85","1","2","0","33","1","0","0","407","100.00%"
