"COUNTY","OFFENDERS","PERCENT"
"ADAMS","4","1.36%"
"ALCORN","7","2.37%"
"AMITE","0","0.00%"
"ATTALA","2","0.68%"
"BENTON","1","0.34%"
"BOLIVAR","2","0.68%"
"CALHOUN","2","0.68%"
"CARROLL","0","0.00%"
"CHICKASAW","2","0.68%"
"CHOCTAW","0","0.00%"
"CLAIBORNE","1","0.34%"
"CLARKE","2","0.68%"
"CLAY","4","1.36%"
"COAHOMA","1","0.34%"
"COPIAH","2","0.68%"
"COVINGTON","1","0.34%"
"DESOTO","21","7.12%"
"FORREST","8","2.71%"
"FRANKLIN","1","0.34%"
"GEORGE","3","1.02%"
"GREENE","0","0.00%"
"GRENADA","5","1.69%"
"HANCOCK","5","1.69%"
"HARRISON","35","11.86%"
"HINDS","16","5.42%"
"HOLMES","1","0.34%"
"HUMPHREYS","3","1.02%"
"ISSAQUENA","0","0.00%"
"ITAWAMBA","3","1.02%"
"JACKSON","15","5.08%"
"JASPER","0","0.00%"
"JEFFERSON","0","0.00%"
"JEFFERSON DAVIS","1","0.34%"
"JONES","0","0.00%"
"KEMPER","0","0.00%"
"LAFAYETTE","3","1.02%"
"LAMAR","5","1.69%"
"LAUDERDALE","11","3.73%"
"LAWRENCE","1","0.34%"
"LEAKE","0","0.00%"
"LEE","8","2.71%"
"LEFLORE","2","0.68%"
