"COUNTY","OFFENDERS","PERCENT"
"LINCOLN","5","1.10%"
"LOWNDES","19","4.17%"
"MADISON","13","2.85%"
"MARION","3","0.66%"
"MARSHALL","6","1.32%"
"MONROE","4","0.88%"
"MONTGOMERY","2","0.44%"
"NESHOBA","7","1.54%"
"NEWTON","6","1.32%"
"NOXUBEE","0","0.00%"
"OKTIBBEHA","8","1.75%"
"PANOLA","4","0.88%"
"PEARL RIVER","9","1.97%"
"PERRY","1","0.22%"
"PIKE","10","2.19%"
"PONTOTOC","6","1.32%"
"PRENTISS","4","0.88%"
"QUITMAN","0","0.00%"
"RANKIN","15","3.29%"
"SCOTT","6","1.32%"
"SHARKEY","1","0.22%"
"SIMPSON","4","0.88%"
"SMITH","0","0.00%"
"STONE","2","0.44%"
"SUNFLOWER","2","0.44%"
"TALLAHATCHIE","2","0.44%"
"TATE","4","0.88%"
"TIPPAH","2","0.44%"
"TISHOMINGO","1","0.22%"
"TUNICA","9","1.97%"
"UNION","6","1.32%"
"WALTHALL","2","0.44%"
"WARREN","4","0.88%"
"WASHINGTON","7","1.54%"
"WAYNE","4","0.88%"
"WEBSTER","0","0.00%"
"WILKINSON","1","0.22%"
"WINSTON","2","0.44%"
"YALOBUSHA","1","0.22%"
"YAZOO","2","0.44%"
"Verification Pending","6","1.32%"
"TOTAL","456","100.00%"
