"Females
Males
Data
Offenses
Total
Percent
Black
White
Hispanic
Other
Unavailable
Black 
White
Hispanic
Other","","","","","","","","","","",""
"POSSESSION OF DRUGS","","","","","","","","","","",""
"Amphetamine Possession","0","3","0","0","0","0","0","0","0","3","0.16%"
"Cocaine Possession","528","72","7","1","0","54","26","2","0","690","36.16%"
"Heroin Possession","1","0","0","0","0","1","0","0","0","2","0.10%"
"Marijuana Manufacturing","0","6","0","0","0","0","0","0","0","6","0.31%"
"Marijuana Possession","142","50","6","1","0","2","10","2","0","213","11.16%"
"Methamphetamine Distribute","0","4","1","0","0","0","0","0","0","5","0.26%"
"Methamphetamine Manufacture","0","33","0","0","0","0","1","0","0","34","1.78%"
"Methamphetamine Possession","3","96","3","0","0","0","21","0","0","123","6.45%"
"Methamphetamine Sale","0","2","0","0","0","0","1","0","0","3","0.16%"
"Possession of a Controlled Substance w/Intent","12","17","1","0","0","1","3","0","0","34","1.78%"
"Possession of Cocaine w/Intent","35","2","1","0","0","1","1","0","0","40","2.10%"
"Possession of Marijuana w/Intent","14","2","4","0","0","0","3","0","0","23","1.21%"
"Possession of Precursor w/Intent to Manufacture","1","34","0","0","0","0","9","0","0","44","2.31%"
"Possession of Controlled Substance","229","354","5","3","0","20","76","1","0","688","36.06%"
"Total","965","675","28","5","0","79","151","5","0","1,908","100.00%"
