"COUNTY","OFFENDERS","PERCENT"
"ADAMS","0","0.00%"
"ALCORN","0","0.00%"
"AMITE","1","0.81%"
"ATTALA","2","1.61%"
"BENTON","0","0.00%"
"BOLIVAR","1","0.81%"
"CALHOUN","1","0.81%"
"CARROLL","0","0.00%"
"CHICKASAW","1","0.81%"
"CHOCTAW","0","0.00%"
"CLAIBORNE","0","0.00%"
"CLARKE","0","0.00%"
"CLAY","1","0.81%"
"COAHOMA","2","1.61%"
"COPIAH","1","0.81%"
"COVINGTON","0","0.00%"
"DESOTO","7","5.65%"
"FORREST","13","10.48%"
"FRANKLIN","0","0.00%"
"GEORGE","0","0.00%"
"GREENE","0","0.00%"
"GRENADA","2","1.61%"
"HANCOCK","0","0.00%"
"HARRISON","4","3.23%"
"HINDS","12","9.68%"
"HOLMES","1","0.81%"
"HUMPHREYS","0","0.00%"
"ISSAQUENA","0","0.00%"
"ITAWAMBA","1","0.81%"
"JACKSON","1","0.81%"
"JASPER","0","0.00%"
"JEFFERSON","0","0.00%"
"JEFFERSON DAVIS","0","0.00%"
"JONES","0","0.00%"
"KEMPER","0","0.00%"
"LAFAYETTE","0","0.00%"
"LAMAR","0","0.00%"
"LAUDERDALE","4","3.23%"
"LAWRENCE","0","0.00%"
"LEAKE","5","4.03%"
"LEE","5","4.03%"
"LEFLORE","1","0.81%"
"LINCOLN","0","0.00%"
"LOWNDES","10","8.06%"
"MADISON","3","2.42%"
"MARION","0","0.00%"
"MARSHALL","0","0.00%"
"MONROE","0","0.00%"
"MONTGOMERY","1","0.81%"
"NESHOBA","3","2.42%"
"NEWTON","0","0.00%"
"NOXUBEE","2","1.61%"
"OKTIBBEHA","3","2.42%"
"PANOLA","2","1.61%"
"PEARL RIVER","4","3.23%"
"PERRY","0","0.00%"
"PIKE","0","0.00%"
"PONTOTOC","2","1.61%"
"PRENTISS","2","1.61%"
"QUITMAN","0","0.00%"
"RANKIN","4","3.23%"
"SCOTT","2","1.61%"
"SHARKEY","0","0.00%"
"SIMPSON","3","2.42%"
"SMITH","0","0.00%"
"STONE","0","0.00%"
"SUNFLOWER","0","0.00%"
"TALLAHATCHIE","2","1.61%"
"TATE","0","0.00%"
"TIPPAH","1","0.81%"
"TISHOMINGO","0","0.00%"
"TUNICA","0","0.00%"
"UNION","2","1.61%"
"WALTHALL","2","1.61%"
"WARREN","1","0.81%"
"WASHINGTON","2","1.61%"
"WAYNE","1","0.81%"
"WEBSTER","0","0.00%"
"WILKINSON","0","0.00%"
"WINSTON","0","0.00%"
"YALOBUSHA","2","1.61%"
"YAZOO","2","1.61%"
"Verification Pending","2","1.61%"
"TOTAL","124","100.00%"
