"Violation","Jul-03","Aug-03","Sep-03","Oct-03","Nov-03","Dec-03","Jan-04"
"Escape - Return","18","13","16","10","7","15","11"
"New Prisoner","398","514","446","418","283","233","373"
"Parole Revoked - Alleged","0","0","0","2","5","10","3"
"Parole Revoked - New","1","5","0","3","0","1","3"
"Parole Revoked - Technical","6","10","11","12","5","5","5"
"Parole Violation","5","8","2","8","3","3","1"
"Post Release Probation","0","0","0","0","0","0","0"
"Probation Revoked","149","224","189","201","130","86","264"
"Return - ERS","17","34","30","41","34","31","33"
"Return - House Arrest","50","40","47","47","43","37","36"
"Returned Parole","0","0","0","1","2","4","8"
"Sentenced to Probation","0","0","0","0","0","3","0"
"TOTAL","644","848","741","743","512","428","737"

"Violation","Feb-04","Mar-04","Apr-04","May-04","Jun-04","Total","Percent"
"Escape - Return","7","10","11","12","6","136","1.57%"
"New Prisoner","522","555","420","385","418","4,965","57.15%"
"Parole Revoked - Alleged","6","0","0","2","0","28","0.32%"
"Parole Revoked - New","1","2","0","2","1","19","0.22%"
"Parole Revoked - Technical","1","6","4","5","5","75","0.86%"
"Parole Violation","0","0","1","2","0","33","0.38%"
"Post Release Probation","2","2","0","0","1","5","0.06%"
"Probation Revoked","256","225","267","248","300","2,539","29.23%"
"Return - ERS","38","45","34","33","30","400","4.60%"
"Return - House Arrest","35","35","18","17","24","429","4.94%"
"Returned Parole","7","6","3","14","6","51","0.59%"
"Sentenced to Probation","0","0","1","1","2","7","0.08%"
"TOTAL","875","886","759","721","793","8,687","100.00%"
