"COUNTY","OFFENDERS","PERCENT"
"LINCOLN","42","1.37%"
"LOWNDES","109","3.55%"
"MADISON","76","2.48%"
"MARION","25","0.82%"
"MARSHALL","37","1.21%"
"MONROE","42","1.37%"
"MONTGOMERY","9","0.29%"
"NESHOBA","29","0.95%"
"NEWTON","25","0.82%"
"NOXUBEE","5","0.16%"
"OKTIBBEHA","42","1.37%"
"PANOLA","50","1.63%"
"PEARL RIVER","43","1.40%"
"PERRY","17","0.55%"
"PIKE","103","3.36%"
"PONTOTOC","59","1.92%"
"PRENTISS","33","1.08%"
"QUITMAN","5","0.16%"
"RANKIN","114","3.72%"
"SCOTT","36","1.17%"
"SHARKEY","4","0.13%"
"SIMPSON","9","0.29%"
"SMITH","8","0.26%"
"STONE","13","0.42%"
"SUNFLOWER","25","0.82%"
"TALLAHATCHIE","30","0.98%"
"TATE","12","0.39%"
"TIPPAH","18","0.59%"
"TISHOMINGO","3","0.10%"
"TUNICA","16","0.52%"
"UNION","50","1.63%"
"WALTHALL","16","0.52%"
"WARREN","69","2.25%"
"WASHINGTON","22","0.72%"
"WAYNE","36","1.17%"
"WEBSTER","6","0.20%"
"WILKINSON","0","0.00%"
"WINSTON","13","0.42%"
"YALOBUSHA","5","0.16%"
"YAZOO","8","0.26%"
"Verification Pending","43","1.40%"
"TOTAL","3,067","100.00%"
