"COUNTY","OFFENDERS","PERCENT"
"ADAMS","22","0.72%"
"ALCORN","29","0.95%"
"AMITE","7","0.23%"
"ATTALA","11","0.36%"
"BENTON","4","0.13%"
"BOLIVAR","18","0.59%"
"CALHOUN","27","0.88%"
"CARROLL","5","0.16%"
"CHICKASAW","22","0.72%"
"CHOCTAW","11","0.36%"
"CLAIBORNE","10","0.33%"
"CLARKE","12","0.39%"
"CLAY","42","1.37%"
"COAHOMA","24","0.78%"
"COPIAH","31","1.01%"
"COVINGTON","8","0.26%"
"DESOTO","95","3.10%"
"FORREST","88","2.87%"
"FRANKLIN","3","0.10%"
"GEORGE","38","1.24%"
"GREENE","7","0.23%"
"GRENADA","34","1.11%"
"HANCOCK","65","2.12%"
"HARRISON","309","10.07%"
"HINDS","250","8.15%"
"HOLMES","11","0.36%"
"HUMPHREYS","14","0.46%"
"ISSAQUENA","1","0.03%"
"ITAWAMBA","13","0.42%"
"JACKSON","118","3.85%"
"JASPER","12","0.39%"
"JEFFERSON","4","0.13%"
"JEFFERSON DAVIS","12","0.39%"
"JONES","29","0.95%"
"KEMPER","7","0.23%"
"LAFAYETTE","23","0.75%"
"LAMAR","41","1.34%"
"LAUDERDALE","112","3.65%"
"LAWRENCE","6","0.20%"
"LEAKE","25","0.82%"
"LEE","136","4.43%"
"LEFLORE","24","0.78%"
