"MALES
Offenses","","","","","Data","FEMALES
Total","","","","","Percent"
"Black
White
Hispanic
Other","","","","","Unavailable","Black
White
Hispanic
Other","","","","",""
"BURGLARY","","","","","","","","","","",""
"Burglary - Tools Possession","1","6","0","0","0","0","0","0","0","7","0.47%"
"Burglary Larceny - Non-Residential","14","28","0","0","0","0","3","0","0","45","3.00%"
"Burglary Larceny - Occupied Dwelling","0","2","0","0","0","0","0","0","0","2","0.13%"
"Burglary Larceny - Residential","18","27","1","0","0","1","5","0","0","52","3.47%"
"Burglary Larceny - Vehicle","9","11","0","0","0","0","0","0","0","20","1.33%"
"Burglary - General","80","83","0","2","0","3","5","0","0","173","11.54%"
"Non-Residential","208","100","2","0","0","0","8","0","0","318","21.21%"
"Burglary - Occupied Dwelling","11","5","0","0","0","0","0","0","0","16","1.07%"
"Burglary - Residential","372","218","1","0","0","9","32","0","0","632","42.16%"
"Burglary - Vehicle","154","71","1","0","0","2","2","0","0","230","15.34%"
"Violation of Mississippi RICO Act","0","2","2","0","0","0","0","0","0","4","0.27%"
"Total","867","553","7","2","0","15","55","0","0","1,499","100.00%"
