"Violation","Feb-04","Mar-04","Apr-04","May-04","Jun-04","Total","Percent"
"Escape - Return","7","10","11","12","6","136","1.57%"
"New Prisoner","522","555","420","385","418","4,965","57.15%"
"Parole Revoked - Alleged","6","0","0","2","0","28","0.32%"
"Parole Revoked - New","1","2","0","2","1","19","0.22%"
"Parole Revoked - Technical","1","6","4","5","5","75","0.86%"
"Parole Violation","0","0","1","2","0","33","0.38%"
"Post Release Probation","2","2","0","0","1","5","0.06%"
"Probation Revoked","256","225","267","248","300","2,539","29.23%"
"Return - ERS","38","45","34","33","30","400","4.60%"
"Return - House Arrest","35","35","18","17","24","429","4.94%"
"Returned Parole","7","6","3","14","6","51","0.59%"
"Sentenced to Probation","0","0","1","1","2","7","0.08%"
"TOTAL","875","886","759","721","793","8,687","100.00%"
