"MALES
FEMALES
Data
Offenses
Total
Percent
Black
White
Hispanic
Other
Unavailable
Black
White
Hispanic
Other","","","","","","","","","","",""
"SEX OFFENSES","","","","","","","","","","",""
"Capital Rape","0","2","0","0","0","0","0","0","0","2","0.68%"
"Child Molesting","4","9","0","0","0","0","1","0","0","14","4.75%"
"Entice Child for Indecent Purposes","0","0","0","0","0","1","0","0","0","1","0.34%"
"Exploitation of a Child","2","6","0","0","0","0","0","0","1","9","3.05%"
"Failure to Register - Sexual Offense","5","9","0","0","0","0","0","0","0","14","4.75%"
"Fondling","0","3","0","0","0","0","0","0","0","3","1.02%"
"Fondling a Child","12","21","1","0","0","0","0","0","0","34","11.53%"
"Gratification - Lust","6","6","0","0","0","0","0","0","0","12","4.07%"
"Peeping Tom","3","5","0","0","0","0","0","0","0","8","2.71%"
"Prostitution","1","0","0","0","0","0","0","0","0","1","0.34%"
"Rape","20","7","0","0","0","0","0","0","0","27","9.15%"
