"MALES
Data
FEMALES
Offenses
Total
Percent
Black
White
Hispanic
Other
Unavailable
Black
White
Hispanic
Other","","","","","","","","","","",""
"SEX OFFENSES","","","","","","","","","","",""
"Child Molesting","0","3","0","0","0","0","0","0","0","3","8.33%"
"Exploitation of a Child","0","2","0","0","0","0","0","0","0","2","5.56%"
"Failure to Register/Sexual Offender","1","3","0","0","0","0","0","0","0","4","11.11%"
"Fondling","0","2","0","0","0","0","0","0","0","2","5.56%"
"Fondling a Child","0","4","0","0","0","0","0","0","0","4","11.11%"
"Gratification / Lust","0","1","0","0","0","0","0","0","0","1","2.78%"
"Peeping Tom","0","2","0","0","0","0","0","0","0","2","5.56%"
"Rape","2","1","0","0","0","0","0","0","0","3","8.33%"
"Sexual Battery","2","9","0","0","0","0","0","0","0","11","30.56%"
"Statutory Rape","1","1","0","0","0","0","0","0","0","2","5.56%"
"Unlawful Touching/Child","0","2","0","0","0","0","0","0","0","2","5.56%"
"Total","6","30","0","0","0","0","0","0","0","36","100.00%"
