"Other Property Offenses (continued)","MALES","","","","Data
Unavailable","FEMALES","","","","Total","Percent"
"","Black","White","Hispanic","Other","","Black","White","Hispanic","Other","",""
"Possession Stolen Property","29","9","0","0","0","1","2","0","0","41","1.53%"
"Possession Stolen Vehicle","5","6","0","0","0","0","0","0","0","11","0.41%"
"Possession Firearm by Convicted Felon","11","4","0","1","0","0","1","0","0","17","0.64%"
"Possession Weapon/Felon","69","33","0","1","0","1","0","0","0","104","3.89%"
"Prescription Forgery","4","20","0","0","0","1","10","0","0","35","1.31%"
"Production of Pornography","0","1","0","0","0","0","0","0","0","1","0.04%"
"Prohibited Weapon","1","0","0","0","0","0","0","0","0","1","0.04%"
"Property Crimes","4","25","1","0","0","0","2","0","0","32","1.20%"
"Receiving Stolen Property","90","40","0","0","0","3","6","0","0","139","5.20%"
"Sale of Stolen Property","2","0","0","0","0","0","0","0","0","2","0.07%"
"Shoplifting","129","23","1","0","0","61","12","1","0","227","8.50%"
"Simple Assault - Police Officer","41","15","1","0","0","5","1","0","0","63","2.36%"
"Smuggling Contraband - Prison","1","0","0","0","0","0","0","0","0","1","0.04%"
"Stolen Property","1","0","0","0","0","0","0","0","0","1","0.04%"
"Stolen Vehicle","0","1","0","0","0","0","1","0","0","2","0.07%"
"Theft by Taking","0","2","0","0","0","0","1","0","0","3","0.11%"
"Theft - Vehicle by Bailee","1","0","0","0","0","0","0","0","0","1","0.04%"
"Threat to Bomb","1","0","0","0","0","0","0","0","0","1","0.04%"
"Traffic Offenses","0","0","1","0","0","0","0","0","0","1","0.04%"
"Uttering Forgery","123","94","0","0","0","75","67","0","0","359","13.44%"
"Vehicle Theft","65","27","1","0","0","3","8","0","0","104","3.89%"
"Weapon Offense","4","0","0","0","0","0","1","0","0","5","0.19%"
"Worthless Checks","11","11","0","0","0","8","7","0","0","37","1.38%"
"Total","1,195","973","9","12","0","228","250","1","4","2,672","100.00%"
