"MALES
FEMALES
Data
Offenses
Total
Percent
Black
White
Hispanic
Other
Unavailable
Black
White
Hispanic
Other","","","","","","","","","","",""
"OTHER PROPERTY","","","","","","","","","","",""
"Accessory After the Fact","20","5","0","0","0","3","2","0","0","30","1.12%"
"Aggravated DUI","2","13","0","0","0","0","0","0","0","15","0.56%"
"Arson","8","11","0","0","0","1","0","0","0","20","0.75%"
"Arson - 2nd Degree","1","1","0","0","0","0","0","0","0","2","0.07%"
"Arson - Public Building","1","0","0","0","0","0","0","0","0","1","0.04%"
"Arson - Residence","1","1","0","0","0","0","2","0","0","4","0.15%"
"Assault","1","0","0","0","0","0","0","0","0","1","0.04%"
"Bigamy","0","1","0","0","0","0","0","0","0","1","0.04%"
"Burglary","4","4","0","0","0","0","0","0","0","8","0.30%"
"Other Property Offenses (continued)","MALES","","","","Data
Unavailable","FEMALES","","","","Total","Percent"
"","Black","White","Hispanic","Other","","Black","White","Hispanic","Other","",""
"Carjacking","2","0","0","0","0","0","0","0","0","2","0.07%"
"Carrying Weapon in Public Place","1","0","0","0","0","0","0","0","0","1","0.04%"
"Child Abuse","8","4","0","0","0","3","3","0","0","18","0.67%"
"Child Support","3","2","0","0","0","0","0","0","0","5","0.19%"
"Compounding Crime","2","2","0","0","0","0","0","0","0","4","0.15%"
"Conspiracy","4","4","0","0","0","2","2","0","0","12","0.45%"
"Conspiracy to Commit Crime","0","2","0","0","0","0","1","0","0","3","0.11%"
"Counterfeiting","0","1","0","0","0","0","0","0","0","1","0.04%"
"Credit Card Fraud","12","11","0","0","0","5","5","0","0","33","1.24%"
"Crimes Against Person","1","1","0","0","0","0","0","0","0","2","0.07%"
"Criminal Attempt to Commit","0","1","0","0","0","1","0","0","0","2","0.07%"
"Damage Property - Business","1","0","0","0","0","0","0","0","0","1","0.04%"
"Damage Property - Public","1","0","0","0","0","0","0","0","0","1","0.04%"
"Discharge Firearm","8","7","1","0","0","0","0","0","0","16","0.60%"
"DUI Death","1","1","0","0","0","0","0","0","0","2","0.07%"
"DUI Manslaughter","0","3","0","0","0","0","1","0","0","4","0.15%"
"Embezzlement","35","46","0","0","0","7","20","0","0","108","4.04%"
"Escape - Jail","3","2","0","0","0","0","1","0","0","6","0.22%"
"Explosives - Using","0","1","0","0","0","0","0","0","0","1","0.04%"
"False Pretense","36","25","1","0","0","22","21","0","0","105","3.93%"
"False Report of a Crime","2","1","0","0","0","0","0","0","0","3","0.11%"
"Family Offense","0","1","0","0","0","0","1","0","0","2","0.07%"
"Felony Domestic Violence","14","6","0","0","0","0","0","0","0","20","0.75%"
"Felony DUI","236","281","1","8","0","7","24","0","4","561","21.00%"
"Forgery","5","6","0","0","0","0","7","0","0","18","0.67%"
"Fraud","2","3","0","2","0","3","3","0","0","13","0.49%"
"Fraud/Abuse Computer","1","0","0","0","0","0","0","0","0","1","0.04%"
"Fraud - Impersonation","3","0","0","0","0","2","4","0","0","9","0.34%"
"Fraud - Swindle","5","1","0","0","0","1","1","0","0","8","0.30%"
