"","FEB","MAR","APR","MAY","JUN","TOTAL","%"
"Abscond","2","1","0","0","0","9",".09"
"Absconded Supervision","0","0","0","0","1","2",".02"
"Appeal","0","0","0","0","0","1",".01"
"Closed","0","1","0","0","0","4",".04"
"Death","0","0","0","0","0","2",".02"
"Death by Inmate","0","0","0","0","0","1",".01"
"Death/Accident","0","0","0","2","0","6",".06"
"Death/Execution","1","2","0","0","3","6",".06"
"Death/Natural Causes","6","4","3","2","2","55",".55"
"Death/Suicide","1","0","1","0","0","5",".05"
"Discharge to Probation","9","5","4","8","3","85",".86"
"Discharged","4","22","12","10","13","125","1.26"
"Discharged-Held In Abeyance","0","0","0","1","0","3",".03"
"ERS","149","185","179","172","175","2,035","20.50"
"Expiration","124","168","137","132","100","1,819","18.33"
"Federal Out of State","0","0","1","0","0","3",".03"
"Governor's Suspension","3","2","0","0","0","10",".10"
"House Arrest/ISP","53","65","58","99","90","774","7.80"
"Medical Release","3","0","0","3","0","9",".09"
"Pardon","0","5","0","0","0","10",".10"
"Parole","179","248","178","222","167","2,322","23.40"
"Parole Continued","0","0","4","3","7","15",".15"
"Pending","0","1","1","0","0","2",".02"
"Pending Arrival","0","2","0","3","0","10",".10"
"Probation","195","192","178","216","166","2,390","24.08"
"Rejected","0","1","0","1","0","5",".05"
"Remanded","1","0","0","0","1","2",".02"
"Rendered","0","0","0","0","0","3",".03"
"RID","2","2","1","1","3","18",".18"
"Shock Probation","0","0","0","0","0","26",".26"
"Unsupervised Probation","0","2","1","0","2","23",".23"
"Pending File Review","6","12","12","12","15","145","1.46"
"TOTAL","738","920","770","887","748","9,225","100.00"
