"","JUL","AUG","SEP","OCT","NOV","DEC","JAN"
"Abscond","1","1","2","1","0","0","1"
"Absconded Supervision","1","0","0","0","0","0","0"
"Appeal","1","0","0","0","0","0","0"
"Closed","0","0","0","0","0","0","3"
"Death","0","0","0","0","0","0","2"
"Death by Inmate","1","0","0","0","0","0","0"
"Death/Accident","0","0","0","2","0","2","0"
"Death/Execution","0","0","0","0","0","0","0"
"Death/Natural Causes","10","2","6","8","2","6","4"
"Death/Suicide","0","0","0","2","0","0","1"
"Discharge to Probation","9","8","13","3","12","3","8"
"Discharged","10","5","8","14","6","10","11"
"Discharged Held in Abeyance","1","0","0","1","0","0","0"
"ERS","167","194","176","158","152","181","147"
"Expiration","184","188","168","135","168","162","153"
"Federal Out of State","0","1","0","1","0","0","0"
"Governor's Suspension","0","0","0","0","0","0","5"
"House Arrest/ISP","7","97","78","13","80","70","64"
"Medical Release","0","0","1","0","1","1","0"
"Pardon","0","0","0","0","0","0","5"
"Parole","163","197","185","225","188","178","192"
"Parole Continued","0","1","0","0","0","0","0"
"Pending","0","0","0","0","0","0","0"
"Pending Arrival","0","0","1","0","1","1","2"
"Probation","193","199","177","207","215","226","226"
"Rejected","1","0","1","1","0","0","0"
"Remanded","0","0","0","0","0","0","0"
"Rendered","0","1","0","1","0","0","1"
"RID","0","1","1","2","1","3","1"
"Shock Probation","1","13","4","8","0","0","0"
"Unsupervised Probation","5","4","0","1","2","4","2"
"Pending File Review","7","23","17","11","5","22","3"
"TOTAL","762","935","838","794","833","869","831"
