"GENDER 
MALE 
  
FEMALE 
  
TOTAL","","","","",""
"8,777 
  
1,148 
  
9,925","","","","",""
"R","","","","",""
"ACE","MALE","FEMALE","","TOTAL","%"
"White","3,152","709","","3,861","38.90"
"Black","5,506","425","","5,931","59.76"
"Hispanic","83","8","","91",".92"
"Other","34","6","","40",".40"
"Unknown Race","2","0","","2",".02"
"A","","","","",""
"GE","MALE","FEMALE","","TOTAL","%"
"15","0","0","","0",".00"
"16","2","0","","2",".02"
"17","8","0","","8",".08"
"18 - 19","204","10","","214","2.16"
"20 - 29","3,397","375","","3,772","38.01"
"30 - 39","2,662","397","","3,094","30.82"
"40 - 49","1,672","273","","1,945","19.60"
"50 - 59","663","81","","744","7.50"
"60 - 69","143","11","","154","1.55"
"70 - 79","21","1","","22",".22"
"80+","5","0","","5",".05"
"O","","","","",""
"FFENSE","MALE","FEMALE","","TOTAL","%"
"Aggravated Assault","384","33","","417","4.20"
"Burglary","1,682","105","","1,787","18.01"
"Homicide","55","3","","58",".58"
"Manslaughter","131","31","","162","1.63"
"Property","2,027","456","","2,483","25.02"
"Possession of Drugs","2,123","303","","2,426","24.44"
"Robbery","482","29","","511","5.15"
"Sale of Drugs","1,323","144","","1,467","14.78"
"Sex Offense","339","5","","344","3.47"
"Violent","231","39","","270","2.72"
