"MALE","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"13","1","0","0","0","1"
"15","3","0","0","0","3"
"16","20","1","0","0","21"
"17","45","8","1","0","54"
"18 - 19","398","92","4","4","498"
"20 - 29","6,231","2,085","81","32","8,429"
"30 - 39","4,827","2,022","48","18","6,915"
"40 - 49","3,038","1,703","32","10","4,783"
"50 - 59","1,297","721","7","6","2,031"
"60 - 69","186","195","6","1","388"
"70 - 79","31","45","0","0","76"
"80+","4","6","0","0","10"
"Verification Pending","3","10","1","3","17"
"TOTAL","16,084","6,888","180","74","23,226"
