"JUN '02","JUN '01","JUN '00","JUN '99","JUN '98","TOTAL"
"20","23","16","20","11","187"
"0","0","0","0","0","13"
"6","0","0","0","0","41"
"46","27","31","40","31","417"
"32","20","19","28","30","312"
"33","32","30","33","20","260"
"62","47","36","48","86","477"
"6","7","9","8","18","139"
"10","0","0","0","0","195"
"19","18","21","13","0","222"
"11","4","6","14","12","174"
"9","3","9","10","17","79"
"8","0","0","0","0","59"
"3","0","1","0","0","54"
"2","6","2","1","8","40"
"21","6","12","6","20","220"
"20","13","10","7","0","143"
"11","10","0","0","0","218"
"0","0","4","7","3","15"
"44","41","27","37","24","445"
"10","12","5","6","11","142"
"15","22","12","22","16","215"
"2","6","1","2","7","35"
"31","33","41","27","21","402"
"4","0","0","0","0","29"
"5","1","5","1","0","15"
"3","4","0","0","0","39"
"11","0","0","0","0","80"
"7","9","3","2","2","32"
"48","30","53","57","39","396"
"6","0","4","3","7","38"
"5","2","6","5","0","33"
"9","15","5","7","0","79"
"6","5","4","4","12","80"
"4","5","7","0","3","34"
"18","9","15","16","3","170"
"10","8","6","2","6","50"
