"GENDER 
MALE 
  
FEMALE 
  
TOTAL","","","","",""
"3,391 
 
494 
 
3,885","","","","",""
"","","","","",""
"RACE","MALE","FEMALE","","TOTAL","%"
"White","936","292","","1,228","31.61"
"Black","2,400","200","","2,600","66.92"
"Hispanic","45","2","","47","1.21"
"Other","7","0","","7",".18"
"Verification Pending","3","0","","3",".08"
"","","","","",""
"AGE","MALE","FEMALE","","TOTAL","%"
"17","7","0","","7",".18"
"18  -  19","115","8","","123","3.17"
"20  -  29","1,529","153","","1,682","43.29"
"30  -  39","942","140","","1,082","27.85"
"40  -  49","568","151","","719","18.51"
"50  -  59","205","34","","239","6.15"
"60  -  69","24","7","","31",".80"
"70  -  79","1","0","","1",".03"
"Verification Pending","0","1","","1",".03"
"","","","","",""
"OFFENSE 
MALE 
FEMALE 
  
TOTAL 
%","","","","",""
"Possession of Drugs 
2,189 
330 
 
2,519 
64.84","","","","",""
"35.16 
Sale of Drugs 
1,202 
164 
 
1,366","","","","",""
