"COUNTY","JUN '08","JUN '07","JUN '06","JUN '05","JUN '04","JUN '03"
"Lauderdale","2","7","5","13","22","11"
"Lawrence","0","0","0","2","0","0"
"Leake","5","4","2","9","5","6"
"Lee","4","9","10","18","7","13"
"Leflore","3","0","1","3","5","4"
"Lincoln","0","0","3","2","3","6"
"Lowndes","15","14","10","15","17","12"
"Madison","4","6","1","8","7","6"
"Marion","5","2","1","10","7","5"
"Marshall","0","2","1","4","1","3"
"Monroe","9","8","11","11","8","9"
"Montgomery","0","0","1","2","0","5"
"Neshoba","8","3","8","8","17","10"
"Newton","3","3","2","7","8","5"
"Noxubee","4","3","0","3","0","0"
"Oktibbeha","6","4","9","7","15","2"
"Panola","3","2","3","4","11","15"
"Pearl River","0","0","1","7","5","8"
"Perry","0","0","0","0","0","0"
"Pike","0","2","2","7","9","3"
"Pontotoc","3","6","12","8","7","7"
"Prentiss","0","4","1","4","3","7"
"Quitman","0","0","0","1","1","0"
"Rankin","8","8","12","15","27","21"
"Scott","7","4","1","10","9","5"
"Sharkey","0","0","0","1","0","2"
"Simpson","2","0","0","3","1","6"
"Smith","0","1","2","3","3","1"
"Stone","0","1","0","3","0","1"
"Sunflower","2","2","3","8","2","2"
"Tallahatchie","3","6","3","2","2","1"
"Tate","1","2","0","1","1","7"
"Tippah","0","2","0","3","3","3"
"Tishomingo","1","1","0","1","3","0"
"Tunica","1","0","0","0","0","0"
"Union","2","4","5","6","6","4"
"Walthall","1","0","0","1","1","1"
