"VIOLATION","FEB","MAR","APR","MAY","JUN","TOTAL","%"
"Escape - Return","1","0","2","1","0","12",".12"
"ISP-Prison","0","1","0","1","0","4",".04"
"New Prisoner","513","523","493","422","490","5,576","56.85"
"Non-Adjudicated RID","5","5","2","5","2","40",".41"
"Parole Revoke—New","0","0","0","0","0","1",".01"
"Parole Violation","0","0","0","0","0","1",".01"
"Post Release Probation","0","0","0","0","1","6",".06"
"Probation Revoked","255","232","269","242","257","2,926","29.83"
"Return-Abscond","10","9","10","7","15","108","1.10"
"Return - ERS","37","47","39","25","29","474","4.83"
"Return - House Arrest","31","37","40","38","25","385","3.92"
"Returned Parole","14","23","32","24","25","273","2.78"
"Sentenced to Probation","0","1","0","0","0","3",".03"
"TOTAL","866","878","887","765","844","9,809","100.00"
