"OFFENSE 
AVERAGE SENTENCE LENGTH IN YEARS","",""
"Rape","24.69",""
"Statutory Rape","10.23",""
"Sexual Battery","13.26",""
"Sex Offense","1.00",""
"Unlawful Touching of Child","7.84",""
"Gratification of Lust","8.14",""
"Fondling","6.07",""
"Child Molestation","7.43",""
"Fondling a Child","6.25",""
"Incest","2.00",""
"Exploitation of Child","9.80",""
"Child Pornography","5.67",""
"Entice Child for Indecent Purposes","1.50",""
"Peeping Tom","3.00",""
"Failure to Register as Sex Offender","3.24",""
