"Mississippi Offenders Supervised in Other States","","","","","",""
"Month","","Parolees","","Probationers","","Total"
"JUL","","242","","896","","1,138"
"AUG","","241","","893","","1,134"
"SEP","","235","","887","","1,122"
"OCT","","229","","884","","1,113"
"NOV","","221","","879","","1,100"
"DEC","","224","","883","","1,107"
"JAN","","228","","886","","1,114"
"FEB","","227","","886","","1,113"
"MAR","","234","","892","","1,126"
"APR","","218","","881","","1,099"
"MAY","","215","","851","","1,066"
"JUN","","214","","879","","1,093"
