"COUNTY","JUN '08","JUN '07","JUN '06","JUN '05","JUN '04","JUN '03"
"Lauderdale","16","14","20","10","19","18"
"Lawrence","9","4","0","0","0","0"
"Leake","4","4","4","6","4","13"
"Lee","46","40","49","30","42","35"
"Leflore","15","20","23","45","40","40"
"Lincoln","21","18","19","16","12","26"
"Lowndes","32","28","18","29","57","34"
"Madison","19","26","36","4","4","2"
"Marion","27","33","39","46","26","14"
"Marshall","30","20","23","15","43","20"
"Monroe","26","24","21","22","12","22"
"Montgomery","4","5","2","3","2","15"
"Neshoba","5","2","10","5","13","16"
"Newton","0","4","6","6","15","19"
"Noxubee","5","2","5","2","0","7"
"Oktibbeha","15","8","40","29","35","28"
"Panola","10","10","23","25","19","6"
"Pearl River","35","37","28","36","29","32"
"Perry","0","1","0","0","0","0"
"Pike","51","24","45","49","56","47"
"Pontotoc","13","17","25","19","17","7"
"Prentiss","22","13","30","26","22","15"
"Quitman","4","3","1","2","4","3"
"Rankin","33","33","47","53","47","36"
"Scott","5","5","0","5","2","8"
"Sharkey","0","0","0","3","0","0"
"Simpson","6","5","5","4","8","4"
"Smith","6","7","18","15","20","3"
"Stone","1","2","1","3","0","2"
"Sunflower","17","39","25","31","34","23"
"Tallahatchie","2","3","4","3","5","1"
"Tate","2","6","1","1","2","3"
"Tippah","11","12","4","8","2","6"
"Tishomingo","13","10","2","12","7","5"
"Tunica","4","2","0","2","1","6"
"Union","12","11","36","13","21","16"
"Walthall","4","10","1","1","0","2"
